module	module_size	annotated	ontology	term_id	term_name	genes_in_module	genes_in_background	p	fdr
magenta	157	104	GO_MF	GO:0008137	NADH dehydrogenase (ubiquinone) activity	3	9	0.00351	0.0436
magenta	157	104	GO_MF	GO:0008013	beta-catenin binding	2	3	0.00396	0.0436
magenta	157	104	GO_MF	GO:0140767	enzyme-substrate adaptor activity	2	3	0.00396	0.0436
magenta	157	104	KEGG	map00052	Galactose metabolism	2	4	0.00774	0.0296
magenta	157	104	KEGG	map00190	Oxidative phosphorylation	3	12	0.00847	0.0296
purple	150	100	GO_BP	GO:0051726	regulation of cell cycle	4	13	0.00084	0.0361
greenyellow	142	65	GO_BP	GO:0000425	pexophagy	3	9	0.000896	0.00681
greenyellow	142	65	GO_BP	GO:0051592	response to calcium ion	2	3	0.00155	0.00681
greenyellow	142	65	GO_BP	GO:0051898	negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	2	3	0.00155	0.00681
greenyellow	142	65	GO_BP	GO:0006623	protein targeting to vacuole	3	11	0.0017	0.00681
greenyellow	142	65	GO_BP	GO:0030334	regulation of cell migration	2	4	0.00306	0.0098
greenyellow	142	65	GO_BP	GO:0006886	intracellular protein transport	6	69	0.00462	0.0123
greenyellow	142	65	GO_BP	GO:0045324	late endosome to vacuole transport	2	9	0.017	0.039
greenyellow	142	65	GO_BP	GO:0016192	vesicle-mediated transport	3	27	0.0232	0.0464
tan	123	67	GO_BP	GO:0000245	spliceosomal complex assembly	3	7	0.000422	0.00929
tan	123	67	GO_BP	GO:0120011	intermembrane sterol transfer	2	3	0.00165	0.0102
tan	123	67	GO_BP	GO:0034605	cellular response to heat	3	11	0.00186	0.0102
tan	123	67	GO_BP	GO:0042026	protein refolding	3	11	0.00186	0.0102
tan	123	67	GO_BP	GO:0006621	protein retention in ER lumen	2	4	0.00325	0.0143
tan	123	67	GO_BP	GO:0006376	mRNA splice site recognition	2	5	0.00534	0.0196
tan	123	67	GO_BP	GO:0006515	protein quality control for misfolded or incompletely synthesized proteins	2	6	0.00788	0.0248
tan	123	67	GO_BP	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	4	43	0.0181	0.0497
tan	123	67	GO_MF	GO:0001671	ATPase activator activity	3	5	0.000125	0.00337
tan	123	67	GO_MF	GO:0035198	miRNA binding	2	3	0.00165	0.0149
tan	123	67	GO_MF	GO:0120015	sterol transfer activity	2	3	0.00165	0.0149
tan	123	67	GO_MF	GO:0051082	unfolded protein binding	5	46	0.00424	0.0286
tan	123	67	GO_MF	GO:0032934	sterol binding	2	6	0.00788	0.0426
tan	123	67	GO_CC	GO:0005769	early endosome	3	13	0.00311	0.0303
tan	123	67	GO_CC	GO:0031463	Cul3-RING ubiquitin ligase complex	2	4	0.00325	0.0303
tan	123	67	GO_CC	GO:0071561	nucleus-vacuole junction	2	4	0.00325	0.0303
tan	123	67	GO_CC	GO:0005654	nucleoplasm	7	89	0.00465	0.0325
tan	123	67	GO_CC	GO:0005801	cis-Golgi network	2	6	0.00788	0.0441
salmon	116	66	GO_BP	GO:0031468	nuclear membrane reassembly	2	4	0.00316	0.0401
salmon	116	66	GO_BP	GO:0005978	glycogen biosynthetic process	2	6	0.00765	0.0401
salmon	116	66	GO_BP	GO:0000724	double-strand break repair via homologous recombination	2	7	0.0106	0.0401
salmon	116	66	GO_BP	GO:0032465	regulation of cytokinesis	2	7	0.0106	0.0401
salmon	116	66	GO_BP	GO:0061709	reticulophagy	2	7	0.0106	0.0401
salmon	116	66	GO_BP	GO:0006656	phosphatidylcholine biosynthetic process	2	8	0.0139	0.0439
salmon	116	66	GO_BP	GO:0045324	late endosome to vacuole transport	2	9	0.0176	0.0476
cyan	107	61	GO_BP	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	3	10	0.00105	0.013
cyan	107	61	GO_BP	GO:0071577	zinc ion transmembrane transport	2	3	0.00137	0.013
cyan	107	61	GO_BP	GO:0046686	response to cadmium ion	2	4	0.0027	0.0142
cyan	107	61	GO_BP	GO:0000387	spliceosomal snRNP assembly	3	14	0.00298	0.0142
cyan	107	61	GO_BP	GO:0008299	isoprenoid biosynthetic process	2	5	0.00444	0.0169
cyan	107	61	GO_BP	GO:0006882	intracellular zinc ion homeostasis	2	6	0.00656	0.0208
cyan	107	61	GO_BP	GO:0006878	intracellular copper ion homeostasis	2	7	0.00906	0.0246
cyan	107	61	GO_BP	GO:0055085	transmembrane transport	3	25	0.0159	0.0377
cyan	107	61	GO_BP	GO:0006879	intracellular iron ion homeostasis	2	10	0.0186	0.0393
cyan	107	61	GO_MF	GO:0030145	manganese ion binding	3	10	0.00105	0.0189
cyan	107	61	GO_MF	GO:0004806	triacylglycerol lipase activity	3	12	0.00186	0.0189
cyan	107	61	GO_MF	GO:0005385	zinc ion transmembrane transporter activity	2	4	0.0027	0.0189
cyan	107	61	GO_MF	GO:0015174	basic amino acid transmembrane transporter activity	2	6	0.00656	0.0276
cyan	107	61	GO_MF	GO:0042162	telomeric DNA binding	2	6	0.00656	0.0276
midnightblue	106	57	GO_BP	GO:0000398	mRNA splicing, via spliceosome	7	60	0.000162	0.00291
midnightblue	106	57	GO_BP	GO:0043484	regulation of RNA splicing	2	5	0.00388	0.0345
midnightblue	106	57	GO_BP	GO:0031047	regulatory ncRNA-mediated gene silencing	2	6	0.00574	0.0345
midnightblue	106	57	GO_BP	GO:0070588	calcium ion transmembrane transport	2	7	0.00794	0.0357
midnightblue	106	57	GO_BP	GO:0051123	RNA polymerase II preinitiation complex assembly	2	9	0.0133	0.0477
midnightblue	106	57	GO_BP	GO:0016114	terpenoid biosynthetic process	2	10	0.0164	0.0491
midnightblue	106	57	GO_MF	GO:0008235	metalloexopeptidase activity	2	5	0.00388	0.0488
midnightblue	106	57	GO_MF	GO:0017025	TBP-class protein binding	2	6	0.00574	0.0488
lightcyan	99	75	GO_BP	GO:0030490	maturation of SSU-rRNA	3	7	0.00059	0.00944
lightcyan	99	75	GO_BP	GO:0034080	CENP-A containing chromatin assembly	2	4	0.00407	0.0325
lightcyan	99	75	GO_BP	GO:0006457	protein folding	5	46	0.00688	0.0367
lightcyan	99	75	GO_BP	GO:0050665	hydrogen peroxide biosynthetic process	2	6	0.00982	0.0393
lightcyan	99	75	GO_BP	GO:0006878	intracellular copper ion homeostasis	2	7	0.0135	0.0432
lightcyan	99	75	GO_BP	GO:0000278	mitotic cell cycle	2	8	0.0177	0.0433
lightcyan	99	75	GO_BP	GO:0006511	ubiquitin-dependent protein catabolic process	4	39	0.0189	0.0433
lightcyan	99	75	GO_BP	GO:0006879	intracellular iron ion homeostasis	2	10	0.0275	0.0489
lightcyan	99	75	GO_BP	GO:0016114	terpenoid biosynthetic process	2	10	0.0275	0.0489
lightcyan	99	75	GO_MF	GO:0140662	ATP-dependent protein folding chaperone	4	12	0.000196	0.00393
lightcyan	99	75	GO_CC	GO:0005832	chaperonin-containing T-complex	4	8	3.01e-05	0.000813
lightcyan	99	75	GO_CC	GO:0019773	proteasome core complex, alpha-subunit complex	3	7	0.00059	0.00768
lightcyan	99	75	GO_CC	GO:0046540	U4/U6 x U5 tri-snRNP complex	4	17	0.000853	0.00768
lightcyan	99	75	GO_CC	GO:0005856	cytoskeleton	4	24	0.0033	0.0182
lightcyan	99	75	GO_CC	GO:0031410	cytoplasmic vesicle	3	12	0.00337	0.0182
grey60	90	46	GO_BP	GO:0090148	membrane fission	2	3	0.000777	0.00699
grey60	90	46	GO_BP	GO:0006325	chromatin organization	2	10	0.0108	0.0393
grey60	90	46	GO_BP	GO:0008104	intracellular protein localization	2	11	0.0131	0.0393
grey60	90	46	GO_BP	GO:0016236	macroautophagy	2	15	0.024	0.0477
grey60	90	46	GO_BP	GO:0007165	signal transduction	3	40	0.0265	0.0477
grey60	90	46	GO_MF	GO:0016279	protein-lysine N-methyltransferase activity	2	4	0.00154	0.0246
lightgreen	85	50	GO_BP	GO:0009083	branched-chain amino acid catabolic process	2	3	0.000919	0.0023
lightgreen	85	50	GO_BP	GO:0120552	branched-chain alpha-keto acid decarboxylation to branched-chain acyl-CoA	2	3	0.000919	0.0023
lightgreen	85	50	GO_CC	GO:0160157	branched-chain alpha-ketoacid dehydrogenase complex	2	3	0.000919	0.0156
lightyellow	83	51	GO_BP	GO:0006396	RNA processing	3	7	0.000187	0.00262
lightyellow	83	51	GO_BP	GO:0032981	mitochondrial respiratory chain complex I assembly	2	8	0.00842	0.0406
lightyellow	83	51	GO_BP	GO:0006338	chromatin remodeling	3	24	0.00869	0.0406
lightyellow	83	51	GO_BP	GO:0043066	negative regulation of apoptotic process	2	10	0.0132	0.0463
lightyellow	83	51	GO_MF	GO:0043138	3'-5' DNA helicase activity	2	4	0.00189	0.0218
lightyellow	83	51	GO_MF	GO:0043139	5'-3' DNA helicase activity	2	5	0.00311	0.0218
lightyellow	83	51	GO_MF	GO:0003678	DNA helicase activity	2	8	0.00842	0.0393
lightyellow	83	51	GO_CC	GO:0000812	Swr1 complex	2	3	0.000956	0.0229
royalblue	79	53	GO_BP	GO:0051607	defense response to virus	2	4	0.00204	0.0353
royalblue	79	53	GO_BP	GO:0006887	exocytosis	2	5	0.00336	0.0353
royalblue	79	53	GO_CC	GO:0030123	AP-3 adaptor complex	2	3	0.00103	0.0237
royalblue	79	53	GO_CC	GO:0030424	axon	2	5	0.00336	0.0386
royalblue	79	53	KEGG	map00920	Sulfur metabolism	2	5	0.00336	0.0134
royalblue	79	53	KEGG	map00520	Amino sugar and nucleotide sugar metabolism	2	12	0.0204	0.0407
darkred	74	36	GO_BP	GO:0036180	filamentous growth of a population of unicellular organisms in response to biotic stimulus	2	5	0.00155	0.014
darkred	74	36	GO_BP	GO:0030447	filamentous growth	2	10	0.00672	0.0183
darkred	74	36	GO_BP	GO:0045892	negative regulation of DNA-templated transcription	2	10	0.00672	0.0183
darkred	74	36	GO_BP	GO:0009651	response to salt stress	2	11	0.00815	0.0183
darkred	74	36	GO_BP	GO:0006487	protein N-linked glycosylation	2	14	0.0132	0.0237
darkred	74	36	GO_BP	GO:0051028	mRNA transport	2	19	0.0238	0.0356
darkred	74	36	GO_MF	GO:0005199	structural constituent of cell wall	2	7	0.00321	0.0289
darkgreen	74	48	GO_BP	GO:0015986	proton motive force-driven ATP synthesis	3	7	0.000156	0.0014
darkgreen	74	48	GO_BP	GO:0006123	mitochondrial electron transport, cytochrome c to oxygen	2	5	0.00276	0.0124
darkgreen	74	48	GO_BP	GO:0006633	fatty acid biosynthetic process	2	11	0.0142	0.0427
darkgreen	74	48	GO_BP	GO:0022904	respiratory electron transport chain	2	14	0.0228	0.0434
darkgreen	74	48	GO_BP	GO:0006281	DNA repair	3	37	0.0241	0.0434
darkgreen	74	48	GO_MF	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	3	7	0.000156	0.00296
darkgreen	74	48	GO_MF	GO:0030527	structural constituent of chromatin	3	17	0.00268	0.0255
darkgreen	74	48	GO_MF	GO:0070180	large ribosomal subunit rRNA binding	2	6	0.00409	0.0259
darkgreen	74	48	GO_MF	GO:0043531	ADP binding	2	7	0.00567	0.0269
darkgreen	74	48	GO_MF	GO:0030170	pyridoxal phosphate binding	3	25	0.00824	0.0313
darkgreen	74	48	GO_MF	GO:0046982	protein heterodimerization activity	3	31	0.015	0.0475
darkgreen	74	48	GO_CC	GO:0045259	proton-transporting ATP synthase complex	4	10	1.46e-05	0.000247
darkgreen	74	48	GO_CC	GO:0005743	mitochondrial inner membrane	9	112	8.29e-05	0.000704
darkgreen	74	48	GO_CC	GO:0045277	respiratory chain complex IV	2	4	0.00167	0.00772
darkgreen	74	48	GO_CC	GO:0005759	mitochondrial matrix	6	78	0.00182	0.00772
darkgreen	74	48	GO_CC	GO:0000328	fungal-type vacuole lumen	2	8	0.00748	0.0254
darkgreen	74	48	GO_CC	GO:0005741	mitochondrial outer membrane	3	26	0.00921	0.0261
darkgreen	74	48	GO_CC	GO:0000786	nucleosome	2	11	0.0142	0.0345
darkturquoise	71	31	GO_MF	GO:0019887	protein kinase regulator activity	2	6	0.00172	0.0103
darkturquoise	71	31	GO_MF	GO:0004842	ubiquitin-protein transferase activity	2	12	0.00724	0.0217
darkgrey	64	37	GO_BP	GO:0010498	proteasomal protein catabolic process	4	17	5.34e-05	0.000427
darkgrey	64	37	GO_BP	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	4	47	0.00302	0.0121
darkgrey	64	37	GO_MF	GO:0036402	proteasome-activating activity	2	5	0.00164	0.0164
orange	61	31	GO_BP	GO:0032979	protein insertion into mitochondrial inner membrane from matrix	2	4	0.000696	0.00209
orange	61	31	GO_BP	GO:0034551	mitochondrial respiratory chain complex III assembly	2	4	0.000696	0.00209
orange	61	31	GO_MF	GO:0051015	actin filament binding	3	23	0.00185	0.0074
white	55	24	GO_BP	GO:0006730	one-carbon metabolic process	2	3	0.000208	0.000625
white	55	24	GO_MF	GO:0047681	aryl-alcohol dehydrogenase (NADP+) activity	2	3	0.000208	0.000833
darkorange	55	40	GO_BP	GO:0000054	ribosomal subunit export from nucleus	2	8	0.00523	0.0418
darkorange	55	40	GO_MF	GO:0043023	ribosomal large subunit binding	2	4	0.00116	0.0163
skyblue	50	28	GO_BP	GO:0006334	nucleosome assembly	2	6	0.0014	0.0042
skyblue	50	28	GO_BP	GO:0007283	spermatogenesis	2	6	0.0014	0.0042
skyblue	50	28	GO_BP	GO:0000165	MAPK cascade	2	8	0.00258	0.00516
skyblue	50	28	GO_BP	GO:0006696	ergosterol biosynthetic process	2	14	0.00808	0.0121
skyblue	50	28	GO_MF	GO:0008138	protein tyrosine/serine/threonine phosphatase activity	2	5	0.000938	0.00751
skyblue	50	28	GO_CC	GO:0005743	mitochondrial inner membrane	5	112	0.00432	0.0388
skyblue	50	28	KEGG	map05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	2	14	0.00808	0.0162
saddlebrown	49	34	KEGG	map00680	Methane metabolism	2	12	0.00868	0.0293
saddlebrown	49	34	KEGG	map01120	Microbial metabolism in diverse environments	4	71	0.00976	0.0293
saddlebrown	49	34	KEGG	map00010	Glycolysis / Gluconeogenesis	2	19	0.0213	0.0426
saddlebrown	49	34	KEGG	map00620	Pyruvate metabolism	2	23	0.0306	0.0459
steelblue	48	23	GO_BP	GO:0010506	regulation of autophagy	2	5	0.00063	0.00188
steelblue	48	23	GO_BP	GO:0006270	DNA replication initiation	2	6	0.000941	0.00188
steelblue	48	23	GO_BP	GO:0051321	meiotic cell cycle	2	28	0.0212	0.0283
steelblue	48	23	GO_BP	GO:0007165	signal transduction	2	40	0.0413	0.0413
paleturquoise	47	30	GO_BP	GO:0006261	DNA-templated DNA replication	3	8	5.92e-05	0.000355
paleturquoise	47	30	GO_BP	GO:0006351	DNA-templated transcription	5	139	0.0144	0.0341
paleturquoise	47	30	GO_BP	GO:0036503	ERAD pathway	2	22	0.0223	0.0341
paleturquoise	47	30	GO_BP	GO:0051301	cell division	3	58	0.0228	0.0341
paleturquoise	47	30	GO_MF	GO:0004521	RNA endonuclease activity	2	6	0.00161	0.0177
paleturquoise	47	30	GO_MF	GO:0016887	ATP hydrolysis activity	6	159	0.00567	0.0244
paleturquoise	47	30	GO_MF	GO:0016787	hydrolase activity	3	37	0.00666	0.0244
paleturquoise	47	30	GO_MF	GO:0003677	DNA binding	4	89	0.0137	0.0376
violet	46	37	GO_BP	GO:0009051	pentose-phosphate shunt, oxidative branch	2	4	0.000994	0.00894
violet	46	37	GO_BP	GO:0006006	glucose metabolic process	2	7	0.00339	0.0102
violet	46	37	GO_BP	GO:0034314	Arp2/3 complex-mediated actin nucleation	2	7	0.00339	0.0102
violet	46	37	GO_BP	GO:0006096	glycolytic process	2	10	0.00709	0.016
violet	46	37	GO_BP	GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	2	12	0.0102	0.0184
violet	46	37	GO_CC	GO:0005885	Arp2/3 protein complex	2	6	0.00244	0.022
violet	46	37	KEGG	map00030	Pentose phosphate pathway	2	8	0.00449	0.0179
darkolivegreen	44	34	GO_BP	GO:0006644	phospholipid metabolic process	2	3	0.000422	0.0038
darkolivegreen	44	34	GO_BP	GO:0033539	fatty acid beta-oxidation using acyl-CoA dehydrogenase	2	8	0.00379	0.0171
darkolivegreen	44	34	GO_BP	GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	2	12	0.00868	0.0243
darkolivegreen	44	34	GO_BP	GO:0006635	fatty acid beta-oxidation	2	15	0.0135	0.0243
darkolivegreen	44	34	GO_BP	GO:1902600	proton transmembrane transport	2	15	0.0135	0.0243
darkolivegreen	44	34	GO_BP	GO:0006631	fatty acid metabolic process	2	18	0.0192	0.0288
darkolivegreen	44	34	GO_BP	GO:0002181	cytoplasmic translation	3	59	0.0331	0.0425
darkolivegreen	44	34	GO_BP	GO:0006099	tricarboxylic acid cycle	2	26	0.0385	0.0433
darkolivegreen	44	34	GO_MF	GO:0000062	fatty-acyl-CoA binding	2	4	0.000838	0.00671
darkolivegreen	44	34	GO_MF	GO:0050660	flavin adenine dinucleotide binding	3	41	0.0126	0.0358
darkolivegreen	44	34	GO_MF	GO:0000287	magnesium ion binding	3	42	0.0134	0.0358
darkolivegreen	44	34	GO_MF	GO:0051287	NAD binding	2	20	0.0235	0.047
darkolivegreen	44	34	GO_CC	GO:0005759	mitochondrial matrix	5	78	0.00213	0.0124
darkolivegreen	44	34	GO_CC	GO:0005739	mitochondrion	9	255	0.00248	0.0124
darkolivegreen	44	34	GO_CC	GO:0005782	peroxisomal matrix	2	14	0.0118	0.0393
yellowgreen	42	31	GO_BP	GO:0051028	mRNA transport	3	19	0.00104	0.00521
yellowgreen	42	31	GO_BP	GO:0008380	RNA splicing	2	19	0.0179	0.0447
yellowgreen	42	31	GO_MF	GO:0003723	RNA binding	7	168	0.00185	0.0111
skyblue3	40	28	GO_BP	GO:0019915	lipid storage	2	4	0.000566	0.0017
skyblue3	40	28	GO_BP	GO:0140042	lipid droplet formation	2	4	0.000566	0.0017
skyblue3	40	28	GO_BP	GO:0031507	heterochromatin formation	2	13	0.00697	0.0139
skyblue3	40	28	GO_BP	GO:0032259	methylation	2	29	0.0329	0.0493
skyblue3	40	28	GO_CC	GO:0009507	chloroplast	3	21	0.00104	0.00834
plum1	39	25	GO_BP	GO:0006891	intra-Golgi vesicle-mediated transport	2	15	0.00742	0.0296
plum1	39	25	GO_BP	GO:0006413	translational initiation	2	19	0.0118	0.0296
plum1	39	25	KEGG	map00330	Arginine and proline metabolism	2	14	0.00647	0.0129
orangered4	35	20	GO_MF	GO:0003730	mRNA 3'-UTR binding	2	14	0.00415	0.0374
orangered4	35	20	GO_CC	GO:0000785	chromatin	4	70	0.00126	0.0139
orangered4	35	20	KEGG	map00562	Inositol phosphate metabolism	2	8	0.00131	0.00262
mediumpurple3	34	22	GO_BP	GO:0006099	tricarboxylic acid cycle	2	26	0.0169	0.0169
mediumpurple3	34	22	GO_MF	GO:0005507	copper ion binding	2	6	0.00086	0.0086
mediumpurple3	34	22	GO_MF	GO:0009055	electron transfer activity	2	11	0.00308	0.0154
mediumpurple3	34	22	GO_MF	GO:0030527	structural constituent of chromatin	2	17	0.0074	0.023
mediumpurple3	34	22	GO_MF	GO:0005085	guanyl-nucleotide exchange factor activity	2	19	0.00921	0.023
mediumpurple3	34	22	GO_MF	GO:0046872	metal ion binding	6	271	0.015	0.0299
mediumpurple3	34	22	GO_MF	GO:0046982	protein heterodimerization activity	2	31	0.0237	0.0395
lightsteelblue1	34	20	GO_BP	GO:0007059	chromosome segregation	2	8	0.00131	0.00262
lightsteelblue1	34	20	GO_MF	GO:0000166	nucleotide binding	2	21	0.0093	0.0465
