start,end,length,total_reads,libraries,rfam,mean_efficiency,min_efficiency,max_efficiency,n_libs_scored,reads_2B,reads_2C,reads_2D,reads_2E,reads_2F,reads_2G,reads_2H,reads_1A,reads_1B,reads_1C,reads_1D,reads_1E,reads_1F,reads_1G,reads_1H,reads_2A
5099,5197,98,32,3,,0.0,0.0,0.0,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4
55069,55177,108,32,5,,0.603,0.0,0.812,4,0,2,1,0,0,0,8,8,0,0,0,0,13,0,0,0
4647,6439,1792,31,3,Intron_gpI (E=1.7e-01),0.0,0.0,0.002,16,0,3,12,0,0,0,16,0,0,0,0,0,0,0,0,0
5114,5180,66,31,4,,0.0,0.0,0.0,16,0,0,7,0,14,0,0,0,2,0,0,0,0,0,0,8
5140,5163,23,29,5,,0.0,0.0,0.0,16,0,0,16,0,0,0,0,0,5,0,5,0,2,0,0,1
23774,24482,708,26,5,,1.0,1.0,1.0,2,0,0,0,0,0,0,10,1,1,0,0,0,0,13,1,0
3584,3642,58,24,6,,1.0,1.0,1.0,3,0,0,6,0,0,0,5,0,0,1,0,0,0,8,1,3
38086,38295,209,24,3,,0.001,0.0,0.01,16,0,0,0,0,0,0,0,0,0,2,7,15,0,0,0,0
4956,4985,29,18,3,,0.0,0.0,0.0,16,0,4,7,0,7,0,0,0,0,0,0,0,0,0,0,0
5089,5210,121,14,4,,0.0,0.0,0.0,16,0,4,1,0,0,0,0,0,0,0,0,0,2,7,0,0
5113,5180,67,14,3,,0.0,0.0,0.0,16,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,4
39674,39761,87,13,3,,0.006,0.0,0.088,16,6,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0
4535,4904,369,10,5,,0.0,0.0,0.002,16,0,0,0,0,0,1,2,0,0,0,0,3,0,2,2,0
