# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-t" "exon" "-g" "gene_id" "-s" "0" "-a" "refs/BOM_ss5/mitogenome.gtf" "-o" "results/mito/mito_counts.txt" "bam_BOM_ss5/GPNJ7M_10_sample_2B.primary.bam" "bam_BOM_ss5/GPNJ7M_11_sample_2C.primary.bam" "bam_BOM_ss5/GPNJ7M_12_sample_2D.primary.bam" "bam_BOM_ss5/GPNJ7M_13_sample_2E.primary.bam" "bam_BOM_ss5/GPNJ7M_14_sample_2F.primary.bam" "bam_BOM_ss5/GPNJ7M_15_sample_2G.primary.bam" "bam_BOM_ss5/GPNJ7M_16_sample_2H.primary.bam" "bam_BOM_ss5/GPNJ7M_1_sample_1A.primary.bam" "bam_BOM_ss5/GPNJ7M_2_sample_1B.primary.bam" "bam_BOM_ss5/GPNJ7M_3_sample_1C.primary.bam" "bam_BOM_ss5/GPNJ7M_4_sample_1D.primary.bam" "bam_BOM_ss5/GPNJ7M_5_sample_1E.primary.bam" "bam_BOM_ss5/GPNJ7M_6_sample_1F.primary.bam" "bam_BOM_ss5/GPNJ7M_7_sample_1G.primary.bam" "bam_BOM_ss5/GPNJ7M_8_sample_1H.primary.bam" "bam_BOM_ss5/GPNJ7M_9_sample_2A.primary.bam" 
Geneid	Chr	Start	End	Strand	Length	bam_BOM_ss5/GPNJ7M_10_sample_2B.primary.bam	bam_BOM_ss5/GPNJ7M_11_sample_2C.primary.bam	bam_BOM_ss5/GPNJ7M_12_sample_2D.primary.bam	bam_BOM_ss5/GPNJ7M_13_sample_2E.primary.bam	bam_BOM_ss5/GPNJ7M_14_sample_2F.primary.bam	bam_BOM_ss5/GPNJ7M_15_sample_2G.primary.bam	bam_BOM_ss5/GPNJ7M_16_sample_2H.primary.bam	bam_BOM_ss5/GPNJ7M_1_sample_1A.primary.bam	bam_BOM_ss5/GPNJ7M_2_sample_1B.primary.bam	bam_BOM_ss5/GPNJ7M_3_sample_1C.primary.bam	bam_BOM_ss5/GPNJ7M_4_sample_1D.primary.bam	bam_BOM_ss5/GPNJ7M_5_sample_1E.primary.bam	bam_BOM_ss5/GPNJ7M_6_sample_1F.primary.bam	bam_BOM_ss5/GPNJ7M_7_sample_1G.primary.bam	bam_BOM_ss5/GPNJ7M_8_sample_1H.primary.bam	bam_BOM_ss5/GPNJ7M_9_sample_2A.primary.bam
CDS_27	CM148777.1	28534	29346	+	813	11	79	36	1	29	8	41	30	3	0	0	10	2	34	11	4
CDS_28	CM148777.1	29560	32004	+	2445	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
tRNA_29	CM148777.1	34808	34880	-	73	0	0	0	0	3	0	1	1	1	0	0	4	1	3	3	0
tRNA_30	CM148777.1	36442	36515	-	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tRNA_31	CM148777.1	37155	37237	-	83	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
tRNA_32	CM148777.1	37472	37542	-	71	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rRNA_33	CM148777.1	38571	39110	-	540	751	8508	2151	530	9718	6968	24403	18442	17418	3123	15026	25803	8857	19135	18214	1203
tRNA_34	CM148777.1	40178	40263	-	86	0	0	2	0	0	0	1	0	0	0	0	2	0	0	0	0
tRNA_35	CM148777.1	40741	40813	-	73	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
tRNA_36	CM148777.1	40948	41032	-	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tRNA_37	CM148777.1	41732	41803	-	72	0	0	6	0	0	0	0	0	0	0	0	0	0	0	14	0
tRNA_38	CM148777.1	41872	41943	-	72	0	1	3	0	1	0	6	14	3	3	2	0	5	1	12	0
CDS_39	CM148777.1	42301	42669	-	369	0	30	26	0	7	20	125	26	21	0	15	11	23	32	2	12
CDS_40	CM148777.1	42676	44409	-	1734	1	169	56	0	28	14	112	36	12	0	7	18	62	50	27	0
tRNA_41	CM148777.1	45779	45850	+	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tRNA_42	CM148777.1	46286	46356	+	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tRNA_43	CM148777.1	46818	46890	+	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDS_44	CM148777.1	48428	49489	+	1062	0	14	8	1	0	0	14	18	0	2	1	3	11	9	16	0
CDS_45	CM148777.1	50199	52403	+	2205	5	835	441	2	143	132	1431	379	43	16	40	58	115	726	294	21
tRNA_46	CM148777.1	53116	53186	+	71	10	0	0	0	0	0	2	20	0	0	0	0	3	5	1	0
CDS_47	CM148777.1	53576	54784	+	1209	85	3181	1447	137	1297	1454	16440	2622	769	33	571	1094	1037	3429	856	150
CDS_49	CM148777.1	56248	57003	+	756	0	193	92	0	101	138	1201	187	33	2	63	35	42	128	36	11
CDS_50	CM148777.1	59864	60751	+	888	62	3115	1551	100	1152	1051	13888	1825	426	32	353	581	467	2086	859	93
CDS_51	CM148777.1	61148	61498	+	351	3	0	0	0	0	1	3	4	0	0	1	0	0	0	0	0
CDS_52	CM148777.1	61471	63498	+	2028	0	191	78	1	27	18	145	64	11	5	8	11	13	99	29	0
tRNA_53	CM148777.1	67899	67970	+	72	0	3	3	0	0	0	1	2	0	0	1	0	0	3	0	0
