# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "14" "-t" "exon" "-g" "gene_id" "-s" "1" "-a" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/refs/BOM_ss5/BOM_ss5_final.gtf" "-o" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/counts/counts_BOM_ss5_raw.txt" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_10_sample_2B.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_11_sample_2C.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_12_sample_2D.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_13_sample_2E.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_14_sample_2F.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_15_sample_2G.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_16_sample_2H.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_1_sample_1A.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_2_sample_1B.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_3_sample_1C.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_4_sample_1D.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_5_sample_1E.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_6_sample_1F.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_7_sample_1G.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_8_sample_1H.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_9_sample_2A.primary.bam" 
Geneid	Chr	Start	End	Strand	Length	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_10_sample_2B.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_11_sample_2C.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_12_sample_2D.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_13_sample_2E.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_14_sample_2F.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_15_sample_2G.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_16_sample_2H.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_1_sample_1A.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_2_sample_1B.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_3_sample_1C.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_4_sample_1D.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_5_sample_1E.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_6_sample_1F.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_7_sample_1G.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_8_sample_1H.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_9_sample_2A.primary.bam
AAD021_012630	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	33626;34141;35896;36413	34091;35844;36356;37383	+;+;+;+	3602	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
AAD021_012631	JBQVBD010000002.1;JBQVBD010000002.1	37524;38601	38544;39371	+;+	1792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012632	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	39421;40257;40692;40927	40197;40631;40874;42119	+;+;+;+	2528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012633	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	46049;46302;46628;47021;47153;47463	46244;46573;46965;47097;47402;48149	+;+;+;+;+;+	1820	0	0	0	0	4	0	216	1	0	0	0	0	0	1	3	2
AAD021_012634	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	48939;49216;49547;49935;50070;50383	49155;49487;49881;50014;50328;51060	+;+;+;+;+;+	1841	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
AAD021_012635	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	51292;51568;51893;52280;52423;52738	51511;51842;52227;52356;52672;53224	+;+;+;+;+;+	1644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012636	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	52980;53714;53914;53989;54327	53660;53861;53930;54269;54456	-;-;-;-;-	1257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012637	JBQVBD010000002.1;JBQVBD010000002.1	54506;55217	55163;55278	-;-	720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012638	JBQVBD010000002.1	55429	57065	+	1637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012639	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	57578;57670;57772;58038;58588	57590;57717;57979;58523;59436	+;+;+;+;+	1604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012640	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	59513;60355;60544;61434;62100	60301;60488;61374;62044;62349	-;-;-;-;-	2615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012641	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	62682;63327;63542;63708	63265;63477;63646;63745	-;-;-;-	878	2	27	5	1	2	12	182	77	5	0	3	1	18	36	9	0
AAD021_012642	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	63795;64173;64392;64513;64593;64724;64879;65000;65192	64119;64335;64459;64543;64669;64827;64949;65118;65310	-;-;-;-;-;-;-;-;-	1077	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0
AAD021_012643	JBQVBD010000002.1;JBQVBD010000002.1	65407;65931	65853;67828	+;+	2345	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0
AAD021_012644	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	68291;68399;68538;68697;68799;68931;69036;69179;69374;69446;69526	68345;68481;68633;68745;68875;68982;69118;69317;69390;69472;69555	+;+;+;+;+;+;+;+;+;+;+	708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012645	JBQVBD010000002.1;JBQVBD010000002.1	69593;71510	71448;71963	-;-	2310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012646	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	72573;73834;74000;74368;74684;74792;74866;75004;75074;75157	73778;73947;74318;74630;74739;74812;74948;75022;75104;75362	-;-;-;-;-;-;-;-;-;-	2318	1	2	4	0	2	0	21	61	0	0	3	3	2	5	3	0
AAD021_012647	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	75720;75942;76074;76174;76359;76455;76608;76877;77102;77225;77365;77441;77707	75893;76022;76124;76307;76403;76552;76821;77044;77174;77307;77387;77637;78344	+;+;+;+;+;+;+;+;+;+;+;+;+	1979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012648	JBQVBD010000002.1;JBQVBD010000002.1	78489;78739	78681;79292	+;+	747	0	2	0	0	2	0	38	1	0	0	0	0	0	1	0	0
AAD021_012649	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	79096;79557;79758;80235;80588;80840;81412;81752;81841;83615	79476;79695;80171;80528;80791;81027;81701;81767;82903;83736	-;-;-;-;-;-;-;-;-;-	3111	3	1	0	0	0	0	15	25	0	0	0	0	0	2	0	0
AAD021_012650	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	83866;84559;84931;85261;85986;86084	84509;84863;85209;85924;86020;86168	-;-;-;-;-;-	2012	0	0	0	0	0	1	10	3	0	0	0	0	0	0	0	0
AAD021_012651	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	86416;86792;86975;87139	86726;86923;87089;87613	+;+;+;+	1033	0	3	6	0	0	0	26	4	0	0	1	0	1	5	0	0
AAD021_012652	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	87269;87861;88108;88228;88417;88556	87790;87989;88160;88342;88496;88602	-;-;-;-;-;-	946	3	6	3	6	8	7	193	91	9	0	3	23	8	68	7	2
AAD021_012653	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	88961;89539;89660;90278;90643;90773;91172	89480;89601;90225;90585;90714;91114;91366	-;-;-;-;-;-;-	2066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012654	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	93370;94215;94338;94458;94528;94909;95324;95587;95707;95826;95984;96129;96242	94162;94283;94405;94476;94592;94922;95531;95644;95775;95927;96075;96189;96284	-;-;-;-;-;-;-;-;-;-;-;-;-	1661	0	5	1	0	3	0	65	26	0	0	0	1	0	39	34	0
AAD021_012655	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	96533;97210;97344;97751;98089;98293;98520;98680;99076;99188;99434;99613	97158;97275;97687;98032;98227;98458;98624;99021;99123;99279;99555;99949	-;-;-;-;-;-;-;-;-;-;-;-	2669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012656	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	100371;100483;100688;100831;101952;102069;102314;102495;102681;102763;102914;103006;103530;103630;103746;103819;104288	100426;100632;100766;100976;102005;102154;102332;102616;102698;102846;102944;103139;103570;103692;103763;104223;105099	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2318	0	0	0	0	0	1	21	6	0	0	0	0	6	0	0	0
AAD021_012657	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	105161;105719;105975;106728;106965;107394;107511	105666;105912;106672;106905;107332;107449;108344	+;+;+;+;+;+;+	2834	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0
AAD021_012658	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	108047;109611;109737;109963	109558;109681;109907;110193	-;-;-;-	1985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012659	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	110243;110749;110868;111047	110688;110818;110991;111136	-;-;-;-	730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012660	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	111186;111975;112119;112243;112619;112774;112928	111914;112058;112184;112559;112712;112869;112976	-;-;-;-;-;-;-	1435	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
AAD021_012661	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	113120;114453;115022	114400;114589;115711	-;-;-	2108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012662	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	117472;117647;117882	117581;117811;118514	+;+;+	908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012663	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	122024;122141;122290;122569;122679	122080;122217;122513;122620;123266	+;+;+;+;+	998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012664	JBQVBD010000002.1;JBQVBD010000002.1	129475;129953	129801;130524	+;+	899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012665	JBQVBD010000002.1	135453	136411	+	959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012666	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	139859;140368;140866;141326;142846;143089;143184;143772;143987	140313;140812;140961;142782;143034;143132;143703;143919;145158	+;+;+;+;+;+;+;+;+	4526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012667	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	145560;145811;146211;146341;146701;147316;147433	145754;146152;146282;146648;147257;147378;147838	+;+;+;+;+;+;+	1943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012668	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	147502;148012;148424;148570;148687;149076;149226	147953;148368;148518;148627;149017;149172;149340	-;-;-;-;-;-;-	1505	3	0	0	0	0	0	0	2	0	0	0	2	0	1	0	0
AAD021_012669	JBQVBD010000002.1	149661	150215	+	555	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AAD021_012670	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	150214;150501;150610;150803;150887;151013;151198;151448	150444;150564;150747;150828;150954;151085;151376;151583	-;-;-;-;-;-;-;-	915	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
AAD021_012671	JBQVBD010000002.1	151964	153424	+	1461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012672	JBQVBD010000002.1;JBQVBD010000002.1	153054;154100	154049;154285	-;-	1182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012673	JBQVBD010000002.1	155056	156274	+	1219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012674	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	156134;156739;157278;157550	156672;157224;157500;157637	-;-;-;-	1336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_012675	JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1;JBQVBD010000002.1	158279;158990;159302;159532;159699;159885;160040;160173;160400	158935;159245;159476;159645;159825;159981;160123;160335;160780	-;-;-;-;-;-;-;-;-	2054	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
