reaction,name,n_genes,Exuding_mycelium,Exudophore,Fuzzy_mycelium,Nodule,max_other,ratio
rxn19098,alcohol oxidase,4,18.07,90.26,25.84,6.88,25.84,3.49
rxn23591,RXN-13334.c,2,2.4,8.37,1.52,2.27,2.4,3.49
rxn43382,rxn43382,2,2.4,8.37,1.52,2.27,2.4,3.49
rxn00374,Formamide amidohydrolase,1,1.36,4.04,0.24,0.68,1.36,2.97
rxn06049,"1,4-alpha-D-Glucan:orthophosphate alpha-D-glucosyltransferase",1,22.93,108.66,38.01,27.45,38.01,2.86
rxn06096,"1,4-alpha-D-Glucan:orthophosphate alpha-D-glucosyltransferase",1,22.93,108.66,38.01,27.45,38.01,2.86
rxn08611,glycogen phosphorylase,1,22.93,108.66,38.01,27.45,38.01,2.86
rxn10363,glycogen phosphorylase,1,22.93,108.66,38.01,27.45,38.01,2.86
rxn13299,glycogen phosphorylase,1,22.93,108.66,38.01,27.45,38.01,2.86
rxn15563,"1,4-alpha-D-glucan:phosphate alpha-D-glucosyltransferase",1,22.93,108.66,38.01,27.45,38.01,2.86
rxn15594,R06185,1,22.93,108.66,38.01,27.45,38.01,2.86
rxn19864,glycogen phosphorylase,1,22.93,108.66,38.01,27.45,38.01,2.86
rxn19869,glycogen phosphorylase,1,22.93,108.66,38.01,27.45,38.01,2.86
rxn25316,maltodextrin phosphorylase,1,22.93,108.66,38.01,27.45,38.01,2.86
rxn26127,maltodextrin phosphorylase,1,22.93,108.66,38.01,27.45,38.01,2.86
rxn27981,MALDEXPHOSPHORYL-RXN.c,1,22.93,108.66,38.01,27.45,38.01,2.86
rxn28262,starch phosphorylase,1,22.93,108.66,38.01,27.45,38.01,2.86
rxn01368,Cytidine aminohydrolase,2,4.42,16.17,6.06,3.67,6.06,2.67
rxn01418,2-oxoadipate dehydrogenase complex,1,8.9,33.91,12.68,11.8,12.68,2.67
rxn01800,Deoxycytidine aminohydrolase,2,4.42,16.17,6.06,3.67,6.06,2.67
rxn01872,succinyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-succinyltransferase,1,8.9,33.91,12.68,11.8,12.68,2.67
rxn01873,Glutaryl-CoA:dihydrolipoamide S-succinyltransferase,1,8.9,33.91,12.68,11.8,12.68,2.67
rxn08094,2-Oxoglutarate dehydrogenase complex,1,8.9,33.91,12.68,11.8,12.68,2.67
rxn11749,5'-deoxy-5-fluorocytidine aminohydrolase,2,4.42,16.17,6.06,3.67,6.06,2.67
rxn11960,Glutaryl-CoA:dihydrolipoamide S-succinyltransferase,1,8.9,33.91,12.68,11.8,12.68,2.67
rxn25982,dihydrolipoyllysine-residue succinyltransferase,1,8.9,33.91,12.68,11.8,12.68,2.67
rxn31235,2-oxoacid dehydrogenase family protein,1,8.9,33.91,12.68,11.8,12.68,2.67
rxn04941,D-arabinitol:NADP+ oxidoreductase,2,15.84,41.41,11.03,11.88,15.84,2.61
rxn04942,D-arabinitol:NADP+ oxidoreductase,2,15.84,41.41,11.03,11.88,15.84,2.61
rxn15661,D-arabinitol:NADP+ oxidoreductase,2,15.84,41.41,11.03,11.88,15.84,2.61
rxn00560,Urea:carbon-dioxide ligase (ADP-forming),1,3.59,10.44,4.02,1.92,4.02,2.59
rxn12897,urea carboxylase,1,3.59,10.44,4.02,1.92,4.02,2.59
rxn00710,orotidine-5'-phosphate carboxy-lyase (UMP-forming),1,0.05,1.4,0.16,0.55,0.55,2.56
rxn00241,GTP phosphohydrolase,4,24.75,73.44,26.43,29.05,29.05,2.53
rxn00078,ATP:NADH 2'-phosphotransferase,1,3.23,8.13,2.7,1.92,3.23,2.52
rxn06036,alpha-L-arabinan arabinofuranohydrolase,4,0.93,9.28,3.99,0.83,3.99,2.33
rxn09988,alpha-N-arabinofuranosidase,4,0.93,9.28,3.99,0.83,3.99,2.33
rxn15246,alpha-L-arabinan arabinofuranohydrolase,4,0.93,9.28,3.99,0.83,3.99,2.33
rxn15247,alpha-L-arabinan arabinofuranohydrolase,4,0.93,9.28,3.99,0.83,3.99,2.33
rxn17972,alpha-L-arabinosidase,4,0.93,9.28,3.99,0.83,3.99,2.33
rxn41076,rxn41076,4,0.93,9.28,3.99,0.83,3.99,2.33
rxn00256,acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing),2,39.6,175.89,34.88,78.88,78.88,2.23
rxn01834,(R)-S-Lactoylglutathione methylglyoxal-lyase (isomerizing),1,14.02,41.02,14.57,18.43,18.43,2.22
rxn17778,acetylxylan esterase,1,0.26,0.58,0.16,0.15,0.26,2.22
rxn00328,4-hydroxy-2-oxoglutarate glyoxylate-lyase (pyruvate-forming),1,1.3,3.46,0.0,1.57,1.57,2.2
rxn15044,D-4-Hydroxy-2-oxoglutarate glyoxylate-lyase,1,1.3,3.46,0.0,1.57,1.57,2.2
rxn22924,Trm9,1,0.41,1.4,0.16,0.63,0.63,2.2
rxn05822,poly(ribonucleotide):poly(ribonucleotide) ligase (AMP-forming),1,0.73,3.61,1.66,1.55,1.66,2.18
rxn15042,(Deoxyribonucleotide)n:5'-phospho-(deoxyribonucleotide)m ligase (AMP-f,1,0.73,3.61,1.66,1.55,1.66,2.18
rxn19634,deoxyribonucleic joinase,1,0.73,3.61,1.66,1.55,1.66,2.18
rxn44587,rxn44587,1,0.73,3.61,1.66,1.55,1.66,2.18
rxn05336,(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein]:NADP+ oxidoreductase,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn05337,(3R)-3-Hydroxyhexanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn05338,(3R)-3-Hydroxydecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn05339,(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]:NADP+ oxidoreductase,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn05340,(3R)-3-Hydroxydodecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn05341,(3R)-3-Hydroxyoctanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn05342,(3R)-3-Hydroxytetradecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductas,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn06237,(3R)-3-Hydroxyacyl-[acyl-carrier-protein]:NADP+ oxidoreductase,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn07577,R07763,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn07987,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1),4,23.19,48.9,17.26,22.81,23.19,2.11
rxn07989,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1),4,23.19,48.9,17.26,22.81,23.19,2.11
rxn07991,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1),4,23.19,48.9,17.26,22.81,23.19,2.11
rxn07992,3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0),4,23.19,48.9,17.26,22.81,23.19,2.11
rxn07993,3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:1),4,23.19,48.9,17.26,22.81,23.19,2.11
rxn07994,3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0),4,23.19,48.9,17.26,22.81,23.19,2.11
rxn21009,RXN-10655.c,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn21013,RXN-10659.c,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn21857,3-oxo-glutaryl-[acp] methyl ester reductase,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn21861,3-oxo-pimeloyl-[acp] methyl ester reductase,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn23280,RXN-12968.c,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn23297,RXN-12994.c,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn23310,RXN-13008.c,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn25637,acetoacetyl-[acyl-carrier protein] reductase,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn25641,3-oxo-octanoyl-[acyl-carrier protein] reductase,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn25649,3-oxo-palmitoyl-[acyl-carrier protein] reductase,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn25657,3-oxo-petroslinoyl-[acyl-carrier protein] reductase,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn25661,3-oxo-cis-vaccenoyl-[acyl-carrier protein] reductase,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn25718,3-oxo-stearoyl-[acyl-carrier protein] reductase,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn26006,RXN0-2142.c,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn26535,"cis,cis-delta13,31-3-oxo-C50:2-[acyl-carrier protein] reductase",4,23.19,48.9,17.26,22.81,23.19,2.11
rxn26536,cis-delta19-3-oxo-C38:1-[acyl-carrier protein] reductase,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn26552,"cis,cis-delta15,33-3-oxo-C52:2-[acyl-carrier protein] reductase",4,23.19,48.9,17.26,22.81,23.19,2.11
rxn26570,3-oxobehenoyl-[acyl-carrier protein] reductase,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn26571,cis-delta11-3-oxo-C30:1-[acyl-carrier protein] reductase,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn26580,"cis,cis-delta5,23-3-oxo-C42:2-[acyl-carrier protein] reductase",4,23.19,48.9,17.26,22.81,23.19,2.11
rxn26581,"cis,cis-delta17,35-3-oxo-C54:2-[acyl-carrier protein] reductase",4,23.19,48.9,17.26,22.81,23.19,2.11
rxn26588,"cis,cis-delta13,25-3-oxo-C44:2-[acyl-carrier protein] reductase",4,23.19,48.9,17.26,22.81,23.19,2.11
rxn26594,cis-delta9-3-oxo-C28:1-[acyl-carrier protein] reductase,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn26596,"cis,cis-delta9,21-3-oxo-C40:2-[acyl-carrier protein] reductase",4,23.19,48.9,17.26,22.81,23.19,2.11
rxn26600,cis-delta13-3-oxo-C32:1-[acyl-carrier protein] reductase,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn26601,"cis,cis-delta7,19-3-oxo-C38:2-[acyl-carrier protein] reductase",4,23.19,48.9,17.26,22.81,23.19,2.11
rxn26607,cis-delta21-3-oxo-C40:1-[acyl-carrier protein] reductase,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn26632,cis-delta15-3-oxo-C34:1-[acyl-carrier protein] reductase,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn26635,cis-delta7-3-oxo-C26:1-[acyl-carrier protein] reductase,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn26643,"cis,cis-delta7,25-3-oxo-C44:2-[acyl-carrier protein] reductase",4,23.19,48.9,17.26,22.81,23.19,2.11
rxn26647,"cis,cis-delta5,17-3-oxo-C36:2-[acyl-carrier protein] reductase",4,23.19,48.9,17.26,22.81,23.19,2.11
rxn26648,"cis,cis-delta19,37-3-oxo-C56:2-[acyl-carrier protein] reductase",4,23.19,48.9,17.26,22.81,23.19,2.11
rxn26668,"cis,cis-delta15,27-3-oxo-C46:2-[acyl-carrier protein] reductase",4,23.19,48.9,17.26,22.81,23.19,2.11
rxn26685,"cis,cis-delta9,27-3-oxo-C46:2-[acyl-carrier protein] reductase",4,23.19,48.9,17.26,22.81,23.19,2.11
rxn26686,"cis,cis-delta21,39-3-oxo-C58:2-[acyl-carrier protein] reductase",4,23.19,48.9,17.26,22.81,23.19,2.11
rxn26687,"cis,cis-delta11,23-3-oxo-C42:2-[acyl-carrier protein] reductase",4,23.19,48.9,17.26,22.81,23.19,2.11
rxn26695,"cis,cis-delta17,29-3-oxo-C48:2-[acyl-carrier protein] reductase",4,23.19,48.9,17.26,22.81,23.19,2.11
rxn26696,cis-delta5-3-oxo-C24:1-[acyl-carrier protein] reductase,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn26707,"cis,cis-delta11,29-3-oxo-C48:2-[acyl-carrier protein] reductase",4,23.19,48.9,17.26,22.81,23.19,2.11
rxn26711,cis-delta17-3-oxo-C36:1-[acyl-carrier protein] reductase,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn26723,"cis,cis-delta19,31-3-oxo-C50:2-[acyl-carrier protein] reductase",4,23.19,48.9,17.26,22.81,23.19,2.11
rxn28224,RXN-13443.c,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn37627,RXN-13443.c.plantexp.NADP_NADPH,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn37628,RXN-13443.c.plantexp.NAD_NADH,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn37724,RXN-12994.c.araexp.NADP_NADPH,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn37725,RXN-12994.c.araexp.NAD_NADH,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn38495,3-oxo-petroslinoyl-[acyl-carrier protein] reductase,4,23.19,48.9,17.26,22.81,23.19,2.11
rxn06633,Peptidylproline cis-trans-isomerase,16,333.79,717.97,235.26,342.1,342.1,2.1
rxn00170,Acetyl-CoA hydrolase,1,10.78,62.2,4.18,30.07,30.07,2.07
rxn03084,5'-Phosphoribosylformylglycinamide:L-glutamine amido-ligase (ADP-formi,1,1.25,2.79,1.36,1.18,1.36,2.06
rxn34055,Phosphoribosylformylglycinamide Synthase,1,1.25,2.79,1.36,1.18,1.36,2.06
rxn01042,D-xylose:NADP+ 1-oxidoreductase,1,4.06,11.74,2.88,5.75,5.75,2.04
rxn15187,D-xylose:NADP+ 1-oxidoreductase,1,4.06,11.74,2.88,5.75,5.75,2.04
rxn15188,D-xylose:NADP+ 1-oxidoreductase,1,4.06,11.74,2.88,5.75,5.75,2.04
rxn01270,L-arogenate:2-oxoglutarate aminotransferase,1,3.37,8.95,2.19,4.48,4.48,2.0
rxn02236,Aromatic-amino-acid:2-oxoglutarate aminotransferase,1,3.37,8.95,2.19,4.48,4.48,2.0
rxn05108,R07396,1,3.37,8.95,2.19,4.48,4.48,2.0
rxn05122,R07413,4,3.49,7.16,2.08,3.59,3.59,2.0
rxn06064,"Poly(1,4-alpha-D-galacturonate) galacturonohydrolase",5,3.49,7.16,2.08,3.59,3.59,2.0
rxn11201,Aminotransferase,1,3.37,8.95,2.19,4.48,4.48,2.0
rxn15598,R06201,5,3.49,7.16,2.08,3.59,3.59,2.0
rxn15677,R07413,4,3.49,7.16,2.08,3.59,3.59,2.0
rxn17654,aromatic aminotransferase,1,3.37,8.95,2.19,4.48,4.48,2.0
rxn33963,Aromatic Amino Acid Transferase,1,3.37,8.95,2.19,4.48,4.48,2.0
rxn33964,Prephenate Aminotransferase,1,3.37,8.95,2.19,4.48,4.48,2.0
rxn02128,ATP:pantothenate 4'-phosphotransferase,1,12.64,24.82,8.18,7.53,12.64,1.96
rxn02162,ATP:pantothenate 4'-phosphotransferase,1,12.64,24.82,8.18,7.53,12.64,1.96
rxn03047,ATP:pantothenate 4'-phosphotransferase,1,12.64,24.82,8.18,7.53,12.64,1.96
rxn12510,ATP:pantothenate 4'-phosphotransferase,1,12.64,24.82,8.18,7.53,12.64,1.96
rxn42076,type III pantothenate kinase,1,12.64,24.82,8.18,7.53,12.64,1.96
rxn01982,R02744,1,4.37,10.59,4.69,5.61,5.61,1.89
rxn01983,1-Acyl-sn-glycero-3-phosphocholine acylhydrolase,1,4.37,10.59,4.69,5.61,5.61,1.89
rxn02450,L-2-Lysophosphatidylethanolamine aldehydohydrolase,1,4.37,10.59,4.69,5.61,5.61,1.89
rxn03102,1-(1-Alkenyl)-sn-glycero-3-phosphocholine acylhydrolase,1,4.37,10.59,4.69,5.61,5.61,1.89
rxn05962,phosphatidylcholine acylhydrolase,1,4.37,10.59,4.69,5.61,5.61,1.89
rxn06375,1-Acyl-sn-glycero-3-phosphoethanolamine aldehydohydrolase,1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08796,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C12:0) (periplasm)",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08797,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C14:0) (periplasm)",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08798,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C14:1) (periplasm)",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08799,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:0) (periplasm)",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08800,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:1) (periplasm)",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08801,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C18:0) (periplasm)",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08802,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C18:1) (periplasm)",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08803,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C12:0) (peri",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08804,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C14:0) (peri",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08805,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C14:1) (peri",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08806,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C16:0) (peri",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08807,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C16:1) (peri",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08808,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C18:0) (peri",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08809,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C18:1) (peri",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08810,"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C12:0) (periplas",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08811,"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C14:0) (periplas",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08812,"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C14:1) (periplas",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08813,"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C16:0) (periplas",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08814,"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C16:1) (periplas",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08815,"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C18:0) (periplas",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08816,"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C18:1) (periplas",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08817,"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C12:0)",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08818,"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C14:0)",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08819,"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C14:1)",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08820,"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C16:0)",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08821,"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C16:1)",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08822,"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C18:0)",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08823,"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C18:1)",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08838,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C12:0)",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08839,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C14:0)",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08840,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C14:1)",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08841,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C16:0)",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08842,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C16:1)",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08843,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C18:0)",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08844,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C18:1)",1,4.37,10.59,4.69,5.61,5.61,1.89
