protein_id,mitocarta_rbh,mitocarta_target,identity,swissprot_mito
KAN1675191.1,1,NP_004948,37.9,1
KAN1675205.1,1,NP_003163,36.0,1
KAN1675221.1,1,NP_443085,30.2,1
KAN1675230.1,1,NP_005923,36.1,1
KAN1675238.1,1,NP_000161,53.5,1
KAN1675269.1,1,NP_789845,44.4,0
KAN1675287.1,0,,,1
KAN1675289.1,1,NP_055975,32.0,1
KAN1675298.1,1,NP_997231,36.7,1
KAN1675319.1,1,NP_003696,38.2,1
KAN1675324.1,1,NP_005934,53.9,1
KAN1675326.1,1,NP_001474,38.2,1
KAN1675349.1,1,NP_002003,38.8,0
KAN1675360.1,0,,,1
KAN1675365.1,1,NP_055781,32.7,0
KAN1675366.1,1,NP_055209,35.9,1
KAN1675385.1,1,NP_705904,40.1,0
KAN1675395.1,0,,,1
KAN1675467.1,1,NP_055132,43.4,1
KAN1675490.1,0,,,1
KAN1675496.1,1,NP_078954,36.1,0
KAN1675523.1,1,NP_064551,45.4,1
KAN1675569.1,1,NP_525022,23.6,0
KAN1675584.1,1,NP_036605,41.0,0
KAN1675623.1,0,,,1
KAN1675638.1,1,NP_057034,31.6,1
KAN1675667.1,1,NP_004246,41.6,1
KAN1675677.1,1,NP_036335,41.3,0
KAN1675692.1,1,NP_056991,44.7,0
KAN1675711.1,1,NP_004541,70.4,1
KAN1675715.1,0,,,1
KAN1677139.1,0,,,1
KAN1677216.1,1,NP_001034444,37.5,1
KAN1677232.1,0,,,1
KAN1677314.1,1,NP_078813,43.0,0
KAN1677326.1,0,,,1
KAN1677335.1,1,NP_004609,34.8,0
KAN1677337.1,0,,,1
KAN1677353.1,1,NP_068758,39.8,0
KAN1677370.1,0,,,1
KAN1677410.1,1,NP_808881,25.8,0
KAN1677419.1,1,NP_001002913,36.3,0
KAN1677422.1,0,,,1
KAN1677423.1,1,NP_002519,47.5,1
KAN1677461.1,0,,,1
KAN1677485.1,0,,,1
KAN1677523.1,0,,,1
KAN1677570.1,0,,,1
KAN1677599.1,0,,,1
KAN1677600.1,1,NP_000117,51.9,1
KAN1677619.1,0,,,1
KAN1677627.1,1,NP_005825,53.4,1
KAN1677645.1,1,NP_001688,38.3,1
KAN1677652.1,0,,,1
KAN1677654.1,0,,,1
KAN1677664.1,0,,,1
KAN1677668.1,0,,,1
KAN1677733.1,1,NP_071748,31.0,0
KAN1677749.1,1,NP_056230,64.8,1
KAN1677772.1,0,,,1
KAN1677777.1,1,NP_005680,49.1,1
KAN1677782.1,0,,,1
KAN1677799.1,1,NP_004083,57.0,1
KAN1677821.1,1,NP_113651,33.9,0
KAN1677827.1,1,NP_689920,36.1,1
KAN1677843.1,0,,,1
KAN1677857.1,0,,,1
KAN1677858.1,1,NP_060299,34.8,1
KAN1677893.1,1,NP_055205,34.6,0
KAN1677904.1,1,NP_001091972,57.1,1
KAN1677916.1,0,,,1
KAN1677965.1,0,,,1
KAN1677967.1,1,NP_443195,43.4,0
KAN1677972.1,1,NP_001035526,38.5,0
KAN1677977.1,1,NP_112486,52.2,0
KAN1677988.1,1,NP_065154,39.7,1
KAN1677994.1,1,NP_001880,32.7,0
KAN1678003.1,1,NP_000131,57.3,1
KAN1678011.1,1,NP_077718,71.9,1
KAN1678020.1,1,NP_689755,32.7,0
KAN1678029.1,0,,,1
KAN1678031.1,1,NP_056338,47.2,0
KAN1678051.1,0,,,1
KAN1678066.1,1,NP_001186976,61.8,0
KAN1678068.1,1,NP_000150,60.2,1
KAN1678086.1,0,,,1
KAN1678087.1,1,NP_057611,39.4,1
KAN1678099.1,1,NP_004125,65.4,1
KAN1678102.1,0,,,1
KAN1678119.1,1,NP_036221,46.1,1
KAN1678173.1,0,,,1
KAN1678184.1,1,NP_001138299,29.9,0
KAN1678187.1,1,NP_000773,23.8,0
KAN1678215.1,1,NP_005318,36.2,0
KAN1678217.1,1,NP_055470,23.7,1
KAN1678242.1,0,,,1
KAN1678245.1,0,,,1
KAN1678273.1,1,NP_001139443,36.4,0
KAN1678276.1,1,NP_001001563,37.2,1
KAN1678293.1,1,NP_055067,33.4,1
KAN1678316.1,0,,,1
KAN1678413.1,1,NP_001245322,34.1,1
KAN1678414.1,1,NP_001129294,42.5,0
KAN1678420.1,1,NP_683682,26.2,0
KAN1678528.1,0,,,1
KAN1678529.1,0,,,1
KAN1678533.1,1,NP_079034,33.4,0
KAN1678542.1,0,,,1
KAN1678546.1,0,,,1
KAN1678547.1,1,NP_036192,42.4,1
KAN1678548.1,0,,,1
KAN1678641.1,1,NP_079046,27.9,0
KAN1678644.1,1,NP_001091991,34.7,0
KAN1678651.1,1,NP_060762,36.1,1
KAN1678686.1,1,NP_005509,47.2,0
KAN1678733.1,1,NP_036372,33.1,1
KAN1678739.1,1,NP_001229811,42.3,0
KAN1678742.1,0,,,1
KAN1678743.1,0,,,1
KAN1678765.1,0,,,1
KAN1678811.1,1,NP_001002020,28.8,0
KAN1678832.1,1,NP_059117,33.3,0
KAN1678840.1,0,,,1
KAN1678855.1,1,NP_001352,48.7,1
KAN1678866.1,1,NP_001084,46.6,0
KAN1678873.1,1,NP_057501,63.6,1
KAN1678874.1,1,NP_004484,39.1,0
KAN1678892.1,1,NP_872286,31.9,1
KAN1678933.1,1,NP_057152,35.9,1
KAN1678936.1,0,,,1
KAN1679004.1,1,NP_036277,43.3,0
KAN1679012.1,1,NP_998776,51.9,1
KAN1679017.1,1,NP_001229768,56.2,1
KAN1679030.1,1,NP_001107656,37.0,0
KAN1679044.1,0,,,1
KAN1679048.1,1,NP_001180389,50.9,0
KAN1679052.1,1,NP_004037,72.6,1
KAN1679063.1,1,NP_001035806,54.0,0
KAN1679073.1,1,NP_057095,40.9,1
KAN1679088.1,0,,,1
KAN1679092.1,0,,,1
KAN1679112.1,0,,,1
KAN1679113.1,1,NP_001907,62.1,1
KAN1679136.1,1,NP_057696,44.7,1
KAN1679140.1,0,,,1
KAN1679184.1,1,NP_001180289,33.0,1
KAN1679187.1,1,NP_001017423,41.8,0
KAN1679202.1,0,,,1
KAN1679214.1,0,,,1
KAN1679216.1,1,NP_006342,29.3,1
KAN1679236.1,0,,,1
KAN1680837.1,1,NP_057170,30.7,0
KAN1680857.1,1,NP_005720,64.6,0
KAN1680925.1,0,,,1
KAN1680972.1,1,NP_060777,43.0,1
KAN1681024.1,1,NP_000445,55.2,0
KAN1681030.1,1,NP_001138303,52.2,1
KAN1681043.1,0,,,1
KAN1681050.1,1,NP_002486,47.1,1
KAN1681096.1,0,,,1
KAN1681097.1,0,,,1
KAN1681104.1,1,NP_658985,52.8,1
KAN1681106.1,1,NP_036371,50.4,0
KAN1681167.1,0,,,1
KAN1681178.1,1,NP_001271330,37.0,1
KAN1681191.1,1,NP_065142,48.1,1
KAN1681195.1,0,,,1
KAN1681258.1,1,NP_071413,48.0,0
KAN1681260.1,0,,,1
KAN1681262.1,0,,,1
KAN1681264.1,1,NP_065777,40.3,0
KAN1681293.1,0,,,1
KAN1681300.1,1,NP_000700,53.5,1
KAN1681310.1,1,NP_001171752,36.2,1
KAN1681319.1,1,NP_996531,33.5,1
KAN1681348.1,0,,,1
KAN1681374.1,0,,,1
KAN1681376.1,0,,,1
KAN1681377.1,1,NP_004993,41.0,1
KAN1681381.1,1,NP_203526,56.3,0
KAN1681385.1,1,NP_060597,29.7,0
KAN1681409.1,1,NP_116199,49.5,1
KAN1681416.1,0,,,1
KAN1681418.1,0,,,1
KAN1681440.1,1,NP_115690,45.6,1
KAN1681483.1,1,NP_002532,49.5,1
KAN1681484.1,1,NP_001180242,37.9,1
KAN1681539.1,1,NP_055049,35.9,0
KAN1681541.1,0,,,1
KAN1681543.1,0,,,1
KAN1681580.1,1,NP_775742,49.8,1
KAN1681591.1,0,,,1
KAN1682623.1,1,NP_919417,39.8,1
KAN1682699.1,1,NP_005539,57.2,0
KAN1682704.1,1,NP_000373,46.1,0
KAN1682711.1,1,NP_064716,35.9,0
KAN1682714.1,1,NP_064695,42.0,0
KAN1682717.1,1,NP_061176,45.5,1
KAN1682721.1,0,,,1
KAN1682780.1,1,NP_001098117,41.0,1
KAN1682803.1,1,NP_060311,49.1,1
KAN1682850.1,0,,,1
KAN1682876.1,0,,,1
KAN1682891.1,0,,,1
KAN1682906.1,1,NP_001028260,48.0,1
KAN1682910.1,0,,,1
KAN1682915.1,1,NP_612393,29.9,1
KAN1682992.1,1,NP_000300,32.0,1
KAN1682998.1,1,NP_002387,40.6,1
KAN1683007.1,1,NP_001924,47.2,1
KAN1683026.1,0,,,1
KAN1683083.1,1,NP_640335,26.2,0
KAN1683120.1,1,NP_002148,48.1,1
KAN1683139.1,1,NP_000522,48.4,1
KAN1683166.1,1,NP_001265478,33.9,1
KAN1683174.1,0,,,1
KAN1683195.1,0,,,1
KAN1685176.1,0,,,1
KAN1685178.1,0,,,1
KAN1685249.1,1,NP_056512,34.0,1
KAN1685252.1,0,,,1
KAN1685291.1,1,NP_114106,28.9,0
KAN1685307.1,1,NP_683711,34.8,1
KAN1685333.1,1,NP_113642,32.8,1
KAN1685335.1,1,NP_055139,43.4,1
KAN1685347.1,0,,,1
KAN1685348.1,0,,,1
KAN1685421.1,0,,,1
KAN1685447.1,1,NP_060342,40.0,1
KAN1685464.1,1,NP_004366,46.8,1
KAN1685465.1,0,,,1
KAN1685470.1,1,NP_653337,36.6,1
KAN1685500.1,1,NP_001853,41.8,1
KAN1685519.1,1,NP_000472,45.5,1
KAN1685534.1,0,,,1
KAN1685561.1,1,NP_000405,52.5,0
KAN1685629.1,0,,,1
KAN1685637.1,1,NP_000447,39.1,0
KAN1685640.1,1,NP_001854,49.4,1
KAN1685643.1,1,NP_036590,50.0,1
KAN1685646.1,1,NP_001294,39.8,1
KAN1685652.1,1,NP_004068,64.9,1
KAN1685661.1,1,NP_001230679,40.5,1
KAN1685676.1,0,,,1
KAN1685677.1,1,NP_065175,47.2,1
KAN1685679.1,0,,,1
KAN1685681.1,1,NP_001087,56.6,0
KAN1685684.1,0,,,1
KAN1685685.1,1,NP_060666,42.3,0
KAN1685686.1,0,,,1
KAN1685720.1,0,,,1
KAN1685727.1,1,NP_001910,28.5,1
KAN1685751.1,1,NP_079235,47.3,0
KAN1685795.1,1,NP_002076,41.5,1
KAN1685835.1,1,NP_001073331,57.6,0
KAN1685848.1,1,NP_001177162,60.9,0
KAN1685885.1,0,,,1
KAN1685892.1,0,,,1
KAN1685893.1,1,NP_001263408,43.8,1
KAN1685903.1,1,NP_061820,63.7,1
KAN1685904.1,0,,,1
KAN1685912.1,0,,,1
KAN1685948.1,1,NP_002684,36.1,1
KAN1685956.1,1,NP_001258627,49.1,1
KAN1685962.1,1,NP_150592,42.0,1
KAN1685964.1,1,NP_872603,41.8,0
KAN1686005.1,1,NP_009129,40.2,0
KAN1686702.1,0,,,1
KAN1686833.1,1,NP_054797,39.7,1
KAN1686836.1,0,,,1
KAN1686847.1,1,NP_003739,47.8,0
KAN1686849.1,0,,,1
KAN1686895.1,0,,,1
KAN1686903.1,0,,,1
KAN1686910.1,0,,,1
KAN1686915.1,1,NP_077025,50.9,1
KAN1686921.1,1,NP_001071,51.7,0
KAN1686925.1,1,NP_085056,50.7,0
KAN1686957.1,1,NP_004555,37.3,1
KAN1686982.1,1,NP_660200,28.9,0
KAN1686991.1,0,,,1
KAN1687031.1,1,NP_660358,43.3,1
KAN1687034.1,1,NP_071415,59.5,1
KAN1687036.1,0,,,1
KAN1687042.1,1,NP_002487,70.2,1
KAN1687043.1,0,,,1
KAN1687050.1,1,NP_065837,31.3,1
KAN1687071.1,0,,,1
KAN1687092.1,1,NP_001689,50.6,0
KAN1687104.1,1,NP_001653,81.1,0
KAN1687137.1,0,,,1
KAN1687139.1,1,NP_001275695,38.9,0
KAN1687153.1,1,NP_005521,62.2,1
KAN1687177.1,1,NP_777280,50.8,1
KAN1687181.1,1,NP_000916,66.5,1
KAN1687185.1,1,NP_077008,32.5,1
KAN1687213.1,0,,,1
KAN1687232.1,1,NP_005827,32.0,0
KAN1687245.1,1,NP_057151,45.5,1
KAN1687285.1,1,NP_001129673,41.1,0
KAN1687289.1,0,,,1
KAN1687290.1,1,NP_001010867,29.6,1
KAN1687292.1,0,,,1
KAN1687302.1,1,NP_000010,52.7,1
KAN1687345.1,1,NP_001008661,35.0,0
KAN1687381.1,1,NP_733935,52.9,1
KAN1687388.1,0,,,1
KAN1687398.1,1,NP_998760,68.9,1
KAN1687425.1,0,,,1
KAN1687437.1,1,NP_060592,36.7,1
KAN1687443.1,1,NP_079523,52.6,0
KAN1687453.1,0,,,1
KAN1687454.1,1,NP_060809,42.9,0
KAN1687458.1,0,,,1
KAN1687459.1,1,NP_000023,49.3,1
KAN1687468.1,0,,,1
KAN1687478.1,0,,,1
KAN1687484.1,1,NP_006651,44.2,0
KAN1687494.1,0,,,1
KAN1687512.1,1,NP_510870,46.1,1
KAN1687544.1,0,,,1
KAN1687546.1,0,,,1
KAN1687600.1,0,,,1
KAN1687638.1,0,,,1
KAN1688253.1,0,,,1
KAN1688264.1,1,NP_001976,58.2,1
KAN1688265.1,0,,,1
KAN1688306.1,0,,,1
KAN1688398.1,1,NP_002481,38.2,1
KAN1688424.1,1,NP_000265,57.7,0
KAN1688457.1,0,,,1
KAN1688464.1,1,NP_005006,28.3,0
KAN1688477.1,0,,,1
KAN1688481.1,0,,,1
KAN1688495.1,1,NP_000889,37.5,0
KAN1688503.1,1,NP_001028755,35.1,1
KAN1688516.1,0,,,1
KAN1688597.1,0,,,1
KAN1688599.1,1,NP_005026,40.4,1
KAN1688616.1,1,NP_005975,41.3,1
KAN1688635.1,0,,,1
KAN1688637.1,0,,,1
KAN1688639.1,1,NP_116184,30.3,0
KAN1688663.1,0,,,1
KAN1688664.1,1,NP_079152,42.0,1
KAN1688671.1,1,NP_001164641,39.4,1
KAN1688713.1,1,NP_001093243,27.5,0
KAN1690159.1,1,NP_002991,69.1,1
KAN1690181.1,1,NP_036226,42.0,0
KAN1690183.1,1,NP_068605,35.0,1
KAN1690204.1,1,NP_116250,26.4,0
KAN1690215.1,1,NP_000099,61.2,1
KAN1690238.1,1,NP_056325,29.4,0
KAN1690273.1,0,,,1
KAN1690329.1,1,NP_001743,53.0,0
KAN1690350.1,0,,,1
KAN1690366.1,0,,,1
KAN1690368.1,1,NP_653164,48.7,0
KAN1690375.1,0,,,1
KAN1690466.1,1,NP_079428,40.9,1
KAN1690471.1,1,NP_000681,52.1,0
KAN1690472.1,1,NP_001389,48.7,1
KAN1690480.1,1,NP_000776,31.9,0
KAN1690503.1,1,NP_001073918,33.4,1
KAN1690511.1,1,NP_002038,48.3,0
KAN1690634.1,0,,,1
KAN1690635.1,0,,,1
KAN1690845.1,1,NP_079272,56.0,1
KAN1690856.1,1,NP_777582,31.1,0
KAN1690858.1,1,NP_000089,30.1,1
KAN1690860.1,1,NP_005800,64.9,0
KAN1690907.1,1,NP_004095,26.7,0
KAN1690930.1,0,,,1
KAN1690939.1,1,NP_955452,27.2,0
KAN1690951.1,0,,,1
KAN1690963.1,1,NP_005754,28.2,0
KAN1690981.1,0,,,1
KAN1690989.1,1,NP_001116105,51.3,0
KAN1691017.1,1,NP_004896,54.8,0
KAN1691071.1,1,NP_036255,44.0,0
KAN1691078.1,0,,,1
KAN1691079.1,1,NP_055635,29.9,1
KAN1691107.1,1,NP_002291,31.4,0
KAN1691119.1,0,,,1
KAN1692196.1,1,NP_001242939,30.1,1
KAN1692243.1,0,,,1
KAN1692329.1,1,NP_001598,56.7,0
KAN1692334.1,0,,,1
KAN1692396.1,1,NP_064571,42.0,1
KAN1692420.1,1,NP_116009,38.3,1
KAN1692424.1,1,NP_001089,71.7,1
KAN1692427.1,1,NP_001600,56.5,1
KAN1692436.1,1,NP_060345,33.9,1
KAN1692438.1,0,,,1
KAN1692445.1,1,NP_001658,62.6,1
KAN1692466.1,1,NP_110407,38.6,1
KAN1692494.1,1,NP_004580,43.7,1
KAN1692501.1,0,,,1
KAN1692566.1,1,NP_000088,50.4,0
KAN1692589.1,1,NP_060225,36.6,0
KAN1692642.1,0,,,1
KAN1692646.1,1,NP_079425,30.6,0
KAN1692669.1,0,,,1
KAN1692671.1,1,NP_060530,39.7,0
KAN1692677.1,1,NP_060668,24.2,0
KAN1692679.1,1,NP_001041638,40.0,1
KAN1692696.1,0,,,1
KAN1692703.1,0,,,1
KAN1692714.1,1,NP_001159831,53.8,0
KAN1692763.1,1,NP_116052,30.9,0
KAN1692816.1,1,NP_036340,46.1,1
KAN1692823.1,0,,,1
KAN1692939.1,1,NP_001229603,51.3,0
KAN1694041.1,1,NP_071381,35.3,1
KAN1694043.1,0,,,1
KAN1694052.1,0,,,1
KAN1694055.1,0,,,1
KAN1694059.1,0,,,1
KAN1694100.1,0,,,1
KAN1694167.1,1,NP_005909,55.4,1
KAN1694192.1,1,NP_000775,34.5,0
KAN1694253.1,0,,,1
KAN1694324.1,1,NP_653251,48.8,1
