protein_id	sprot_acc	pident	evalue	protein_name	EC	GO	KEGG
KAN1670738.1	O14189	42.9	2.8e-60	Protein phosphatase 2C homolog C10F6.17c	3.1.3.16	GO:0004741;GO:0005739;GO:0005759;GO:0006086;GO:0046872	spo:2543002
KAN1670743.1	Q9C0V1	59.3	2.5e-173	Ammonium transporter 1		GO:0005794;GO:0005886;GO:0008519;GO:0072488;GO:0140157	spo:2539332
KAN1670744.1	O05220	37.5	5.4e-36	Uncharacterized protein YwrF		GO:0010181;GO:0016646	bsu:BSU36080
KAN1670745.1	P15937	65.4	7.1e-252	Acetyl-CoA hydrolase	3.1.2.1	GO:0003986;GO:0005739;GO:0006083;GO:0008775	ncr:NCU09770
KAN1670751.1	D4B0X3	44.7	2.2e-108	Probable alpha/beta-glucosidase ARB_02101	3.2.1.20 {ECO:0000250|UniProtKB:Q5AWI5};3.2.1.21 {ECO:0000250|UniProtKB:Q5AWI5}	GO:0000272;GO:0004558;GO:0005576;GO:0008422;GO:0030246;GO:0071555	abe:ARB_02101
KAN1670752.1	A2QK68	34.6	3.1e-76	FAD-binding monooxygenase ktnD	1.14.13.- {ECO:0000305}	GO:0004499;GO:0016020;GO:0050660;GO:0050661	ang:An04g09550
KAN1670755.1	A6SSW9	33.5	8.9e-29	Oxidoreductase BOA17	1.-.-.- {ECO:0000305|PubMed:21722295}	GO:0016491	bfu:BCIN_01g00160
KAN1670756.1	A2QK68	33.8	1.3e-76	FAD-binding monooxygenase ktnD	1.14.13.- {ECO:0000305}	GO:0004499;GO:0016020;GO:0050660;GO:0050661	ang:An04g09550
KAN1670757.1	P43067	45.9	5.8e-101	Alcohol dehydrogenase 1	1.1.1.1	GO:0004022;GO:0005737;GO:0008270	
KAN1670760.1	Q54PK9	31.0	4.1e-23	3-phosphoinositide-dependent protein kinase B	2.7.11.1	GO:0004672;GO:0004674;GO:0004676;GO:0005524;GO:0005829;GO:0030295;GO:0030587;GO:0035556;GO:0043327;GO:0051897;GO:0106310	ddi:DDB_G0284489
KAN1670768.1	Q6PUR6	59.9	2.1e-101	GPN-loop GTPase 2	3.6.5.- {ECO:0000250|UniProtKB:P47122}	GO:0003924;GO:0005525;GO:0005737;GO:0046872	
KAN1670770.1	Q2UPA7	31.4	3.6e-36	Dehydrogenase aclE	1.-.-.- {ECO:0000305|PubMed:25302411}	GO:0000166;GO:0016491	aor:AO090001000045
KAN1670771.1	Q9KAH1	39.3	3.1e-06	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase	1.1.1.18 {ECO:0000255|HAMAP-Rule:MF_01671};1.1.1.369 {ECO:0000255|HAMAP-Rule:MF_01671}	GO:0000166;GO:0019310;GO:0050112	bha:BH2316
KAN1670773.1	G0REY8	52.4	2.1e-102	AA14 family lytic polysaccharide monooxygenase A	1.14.99.- {ECO:0000269|PubMed:37418595}	GO:0004497;GO:0005576;GO:0046872	tre:TRIREDRAFT_58823
KAN1670774.1	P38988	63.4	2.9e-131	Mitochondrial GTP/GDP carrier protein 1		GO:0001408;GO:0001409;GO:0005739;GO:0005743;GO:0006879;GO:0055085	sce:YDL198C
KAN1670775.1	Q2UPA7	31.0	1.4e-34	Dehydrogenase aclE	1.-.-.- {ECO:0000305|PubMed:25302411}	GO:0000166;GO:0016491	aor:AO090001000045
KAN1670780.1	Q2UPA7	31.9	9.1e-31	Dehydrogenase aclE	1.-.-.- {ECO:0000305|PubMed:25302411}	GO:0000166;GO:0016491	aor:AO090001000045
KAN1670789.1	A0A1L7VET6	36.7	1.7e-23	FAD-dependent monooxygenase FUP4	1.-.-.- {ECO:0000269|PubMed:34357940}	GO:0016491;GO:0071949	
KAN1670790.1	O74965	42.4	2.3e-153	Eukaryotic translation initiation factor 2A		GO:0000049;GO:0002183;GO:0003729;GO:0003743;GO:0005829;GO:0005850;GO:0006413;GO:0006417;GO:0043022	spo:2540999
KAN1670797.1	Q6AYT7	32.8	2.1e-27	Lysophosphatidylserine lipase ABHD12	3.1.-.- {ECO:0000250|UniProtKB:Q8N2K0};3.1.1.- {ECO:0000250|UniProtKB:Q8N2K0};3.1.1.23 {ECO:0000250|UniProtKB:Q8N2K0}	GO:0002084;GO:0004620;GO:0004622;GO:0005737;GO:0005789;GO:0006660;GO:0007628;GO:0008474;GO:0009395;GO:0010996;GO:0016020;GO:0032281;GO:0032839;GO:0046464;GO:0046475;GO:0047372;GO:0050727;GO:0052651;GO:0120560	rno:499913
KAN1670799.1	P80235	43.0	3.8e-162	Putative mitochondrial carnitine O-acetyltransferase	2.3.1.7	GO:0004092;GO:0004095;GO:0005739;GO:0005743;GO:0006631;GO:0009437	sce:YAR035W
KAN1670801.1	A9NEN2	32.8	1.4e-17	Small ribosomal subunit protein uS7		GO:0000049;GO:0003735;GO:0006412;GO:0015935;GO:0019843	acl:ACL_0186
KAN1670810.1	Q9P7W0	33.5	8.9e-29	OPA3-like protein		GO:0005737;GO:0005739;GO:0005741;GO:0019216	spo:2539959
KAN1670813.1	O60078	48.8	1.7e-142	Probable prephenate dehydrogenase [NADP(+)]	1.3.1.13	GO:0004665;GO:0005829;GO:0006571;GO:0008977;GO:0050661;GO:0070403	spo:2539274
KAN1670814.1	A6S9N4	41.9	3.2e-44	Actin cytoskeleton-regulatory complex protein pan1		GO:0003779;GO:0005509;GO:0005886;GO:0006897;GO:0010008;GO:0016197;GO:0030479	bfu:BCIN_05g00930
KAN1670815.1	Q9RPT1	42.2	9.5e-54	Rhamnolipids biosynthesis 3-oxoacyl-[acyl-carrier-protein] reductase	1.1.1.100	GO:0004316;GO:0005829;GO:0008709	pae:PA3387
KAN1670821.1	O42875	43.8	6.7e-66	Tryptophan--tRNA ligase, mitochondrial	6.1.1.2	GO:0004830;GO:0005524;GO:0005739;GO:0005759;GO:0006436;GO:0070183	spo:2543249
KAN1670822.1	P87064	78.4	4.8e-57	DOPA 4,5-dioxygenase	1.14.99.-	GO:0005737;GO:0051213	ag:CAA73387
KAN1670833.1	P47033	42.9	3.4e-30	Cell wall protein PRY3		GO:0005615;GO:0009277;GO:0015908;GO:0015918;GO:0071944;GO:0098552	sce:YJL078C
KAN1670842.1	Q9UUE7	34.7	2.3e-59	Cell division control protein 73		GO:0000993;GO:0005634;GO:0005829;GO:0006368;GO:0016593;GO:0032968	spo:2539616
KAN1670843.1	P47033	39.7	9.5e-25	Cell wall protein PRY3		GO:0005615;GO:0009277;GO:0015908;GO:0015918;GO:0071944;GO:0098552	sce:YJL078C
KAN1670844.1	P47032	42.8	2.8e-31	Protein PRY1		GO:0000287;GO:0000324;GO:0005504;GO:0005576;GO:0005615;GO:0005635;GO:0005783;GO:0015908;GO:0015918;GO:0032934	sce:YJL079C
KAN1670846.1	Q8GWB7	30.0	4.3e-15	Inositol phosphorylceramide glucuronosyltransferase 1	2.4.1.17 {ECO:0000269|PubMed:25122154}	GO:0000139;GO:0005576;GO:0005768;GO:0005794;GO:0005797;GO:0005802;GO:0006673;GO:0009555;GO:0010183;GO:0015020;GO:0016757;GO:0046513;GO:0046872;GO:1990482	ath:AT5G18480
KAN1670849.1	Q8GWB7	30.6	1.0e-13	Inositol phosphorylceramide glucuronosyltransferase 1	2.4.1.17 {ECO:0000269|PubMed:25122154}	GO:0000139;GO:0005576;GO:0005768;GO:0005794;GO:0005797;GO:0005802;GO:0006673;GO:0009555;GO:0010183;GO:0015020;GO:0016757;GO:0046513;GO:0046872;GO:1990482	ath:AT5G18480
KAN1670852.1	F4KFV7	34.4	1.3e-100	DExH-box ATP-dependent RNA helicase DExH18, mitochondrial	3.6.4.13	GO:0000965;GO:0003723;GO:0003724;GO:0005524;GO:0005634;GO:0005739;GO:0016887;GO:0042645;GO:0045025	ath:AT5G39840
KAN1670855.1	Q9R062	31.2	3.4e-08	Glycogenin-1	2.4.1.186 {ECO:0000250|UniProtKB:P46976}	GO:0005536;GO:0005634;GO:0005737;GO:0005978;GO:0008466;GO:0030145;GO:0042803;GO:0160249;GO:1902494	mmu:27357
KAN1670856.1	A2A559	33.5	9.0e-20	GPI-specific phospholipase A2-like PGAP3	3.1.1.- {ECO:0000250|UniProtKB:A2V7M9}	GO:0000139;GO:0005789;GO:0006505;GO:0006506;GO:0016788;GO:0031410	mmu:320655
KAN1670857.1	O13298	60.1	4.2e-162	Histone deacetylase phd1	3.5.1.98 {ECO:0000269|PubMed:9781677}	GO:0000792;GO:0004407;GO:0005634;GO:0005737;GO:0005829;GO:0006351;GO:0034739;GO:0034967;GO:0040029;GO:0045814;GO:0045892;GO:0070210	spo:2543643
KAN1670858.1	P53806	31.9	7.9e-09	Calcipressin-like protein		GO:0003676;GO:0004865;GO:0005634;GO:0005737;GO:0008597;GO:0019722;GO:0030346;GO:0034606;GO:0034608;GO:0040040;GO:0110039	cel:CELE_F54E7.7
KAN1670859.1	O94389	44.5	7.4e-23	Coiled-coil domain-containing protein 124 homolog		GO:0003713;GO:0005634;GO:0005737;GO:0005829;GO:0006351;GO:0006366;GO:0034599	spo:2540542
KAN1670862.1	P32264	44.4	8.6e-101	Glutamate 5-kinase	2.7.2.11	GO:0003723;GO:0004349;GO:0005524;GO:0005737;GO:0005829;GO:0034517;GO:0055129	sce:YDR300C
KAN1670868.1	I6X8D2	31.3	1.8e-35	Polyketide synthase Pks13	2.3.1.- {ECO:0000269|PubMed:19436070, ECO:0000269|PubMed:25467124}	GO:0004312;GO:0004315;GO:0005737;GO:0006633;GO:0031177;GO:0071770	mtu:Rv3800c;mtv:RVBD_3800c
KAN1670869.1	P40309	39.7	1.3e-98	K(+)/H(+) antiporter 1		GO:0005739;GO:0005783;GO:0005794;GO:0015386;GO:0016020;GO:0055085	sce:YJL094C
KAN1670871.1	G2JHL6	32.1	9.9e-45	Quorum-quenching protein AidA		GO:0052689	abz:ABZJ_02010
KAN1670872.1	Q7TXK8	33.4	5.3e-55	Phenolphthiocerol synthesis polyketide synthase type I Pks15/1	2.3.1.41	GO:0004312;GO:0004315;GO:0006633;GO:0008610;GO:0016491;GO:0031177;GO:0034081;GO:0071766	mbo:BQ2027_MB2971C
KAN1670873.1	A0A0U3C228	57.0	8.2e-208	Flavin-dependent halogenase armH5	1.14.19.- {ECO:0000269|PubMed:26655762}	GO:0004497;GO:0044550;GO:0071949;GO:0140907	
KAN1670875.1	Q02895	41.0	1.7e-72	Putative aryl-alcohol dehydrogenase AAD16	1.1.1.-	GO:0005829;GO:0006081;GO:0047681	sce:YPL088W
KAN1670876.1	O94738	35.5	3.4e-78	Alpha-1,3/1,6-mannosyltransferase ALG2	2.4.1.132 {ECO:0000250|UniProtKB:P43636};2.4.1.257 {ECO:0000250|UniProtKB:P43636}	GO:0004378;GO:0005789;GO:0009101;GO:0102704	
KAN1670879.1	A0A6S6QPY4	37.9	2.9e-112	Cytochrome P450 monooxygenase ple5B	1.-.-.- {ECO:0000269|PubMed:28924980}	GO:0004497;GO:0005506;GO:0016020;GO:0016114;GO:0016705;GO:0020037	
KAN1670880.1	Q54MJ7	48.1	8.4e-152	Probable alanine aminotransferase, mitochondrial	2.6.1.2	GO:0004021;GO:0005759;GO:0030170;GO:0042853	ddi:DDB_G0285899
KAN1670881.1	F1SYH0	59.8	5.2e-219	Cytochrome P450 monooxygenase 205	1.-.-.- {ECO:0000269|PubMed:21938516}	GO:0004497;GO:0005506;GO:0016020;GO:0016705;GO:0020037	
KAN1670882.1	S7QP81	46.7	1.3e-86	AA9 family lytic polysaccharide monooxygenase D	1.14.99.54 {ECO:0000305|PubMed:27590806};1.14.99.56 {ECO:0000305|PubMed:27590806}	GO:0004497;GO:0005576;GO:0030245;GO:0046872	gtr:GLOTRDRAFT_69702
KAN1670883.1	F1SYH0	52.8	4.1e-161	Cytochrome P450 monooxygenase 205	1.-.-.- {ECO:0000269|PubMed:21938516}	GO:0004497;GO:0005506;GO:0016020;GO:0016705;GO:0020037	
KAN1670884.1	O94628	37.7	6.8e-26	Uncharacterized methyltransferase C1347.09	2.1.1.-	GO:0005634;GO:0005743;GO:0008168;GO:0019898;GO:0032259	spo:2540005
KAN1670885.1	O94628	40.9	1.6e-21	Uncharacterized methyltransferase C1347.09	2.1.1.-	GO:0005634;GO:0005743;GO:0008168;GO:0019898;GO:0032259	spo:2540005
KAN1670888.1	O14170	40.4	7.0e-39	WD repeat-containing protein pop2		GO:0000209;GO:0005737;GO:0019005;GO:0031146;GO:0043224;GO:1903467;GO:1990756	spo:2543514
KAN1670889.1	A9ZND1	32.4	7.1e-12	Xylan 1,3-beta-xylosidase	3.2.1.72	GO:0005975;GO:0033914	
KAN1670890.1	A0A067PCX8	82.6	1.1e-57	Class I hydrophobin 6		GO:0005199;GO:0005576;GO:0009277	
KAN1670891.1	G2X8Q8	64.9	1.0e-53	Eliciting plant response-like protein CP1		GO:0005576	vda:VDAG_06199
KAN1670892.1	A0A2H3CNY6	38.3	3.2e-104	Cytochrome P450 monooxygenase ARMGADRAFT_974139	1.-.-.-	GO:0004497;GO:0005506;GO:0016020;GO:0016705;GO:0020037	
KAN1670893.1	O59729	49.3	3.0e-38	Uncharacterized protein slp1		GO:0005737;GO:0005789;GO:0016020;GO:0034975	spo:2540275
KAN1670897.1	O00092	33.0	6.3e-60	Phytase A	3.1.3.- {ECO:0000269|PubMed:9925555};3.1.3.8 {ECO:0000269|PubMed:9925555}	GO:0003993;GO:0005576;GO:0016158	afm:AFUA_4G08630
KAN1670898.1	G8FPZ8	63.4	6.3e-43	Eliciting plant response-like protein 1		GO:0005576	
KAN1670899.1	A0A2H3CNY6	37.4	2.7e-103	Cytochrome P450 monooxygenase ARMGADRAFT_974139	1.-.-.-	GO:0004497;GO:0005506;GO:0016020;GO:0016705;GO:0020037	
KAN1670901.1	O94623	30.1	1.2e-95	Translesion synthesis protein rev1	2.7.7.- {ECO:0000250|UniProtKB:P12689}	GO:0000262;GO:0003684;GO:0003887;GO:0005634;GO:0005730;GO:0017125;GO:0035861;GO:0042276;GO:0043504;GO:0046872;GO:0060090;GO:0070987;GO:0072686	spo:2539723
KAN1670902.1	G2X8Q8	51.5	1.2e-39	Eliciting plant response-like protein CP1		GO:0005576	vda:VDAG_06199
KAN1670904.1	Q9CZP5	31.9	1.5e-50	Mitochondrial chaperone BCS1	3.6.1.- {ECO:0000250|UniProtKB:P32839}	GO:0005524;GO:0005739;GO:0005743;GO:0007005;GO:0008566;GO:0016887;GO:0032979;GO:0032981;GO:0033617;GO:0034551	mmu:66821
KAN1670905.1	G2X8Q8	59.5	3.4e-48	Eliciting plant response-like protein CP1		GO:0005576	vda:VDAG_06199
KAN1670906.1	G9PB60	60.0	8.8e-51	Eliciting plant response-like protein 1		GO:0005576	tatv:25782463
KAN1670907.1	A0A067P1K6	94.8	9.6e-71	Class I hydrophobin 1		GO:0005199;GO:0005576;GO:0009277	
KAN1670908.1	D4AYW0	30.0	6.1e-91	ABC transporter G family member ARB_01379		GO:0005524;GO:0005789;GO:0016887;GO:0140359	abe:ARB_01379
KAN1670909.1	C4JNM2	42.9	4.3e-115	Carboxypeptidase Y homolog A	3.4.16.5	GO:0000328;GO:0004185;GO:0006508	ure:UREG_03020
KAN1670912.1	G2X8Q8	66.9	1.8e-51	Eliciting plant response-like protein CP1		GO:0005576	vda:VDAG_06199
KAN1670913.1	C0NX46	45.2	2.9e-106	Carboxypeptidase Y homolog A	3.4.16.5	GO:0000328;GO:0004185;GO:0006508	
KAN1670916.1	A0A067PCX8	62.3	9.3e-39	Class I hydrophobin 6		GO:0005199;GO:0005576;GO:0009277	
KAN1670917.1	Q03002	31.3	1.1e-20	Fatty acyl-CoA synthetase and RNA processing-associated kinase 1	2.7.11.1	GO:0000011;GO:0004672;GO:0004674;GO:0005524;GO:0005737;GO:0005938;GO:0045033;GO:0106310	sce:YPL141C
KAN1670918.1	C4LCV3	35.1	2.5e-07	L-rhamnose mutarotase	5.1.3.32 {ECO:0000255|HAMAP-Rule:MF_01663}	GO:0005737;GO:0019301;GO:0062192	tau:Tola_1040
KAN1670919.1	F1SY68	39.2	7.6e-110	Cytochrome P450 monooxygenase 67	1.-.-.- {ECO:0000269|PubMed:21938516}	GO:0004497;GO:0005506;GO:0016020;GO:0016705;GO:0020037	
KAN1670922.1	P0CM96	63.8	4.8e-276	Pre-mRNA-splicing factor CWC22		GO:0000398;GO:0003723;GO:0005737;GO:0071013	cne:CNF00260
KAN1670923.1	F1SY68	38.3	1.7e-118	Cytochrome P450 monooxygenase 67	1.-.-.- {ECO:0000269|PubMed:21938516}	GO:0004497;GO:0005506;GO:0016020;GO:0016705;GO:0020037	
KAN1670925.1	J9VME1	50.7	0.0e+00	ABC multidrug transporter AFR1		GO:0005524;GO:0005886;GO:0016887;GO:0140359	cng:CNAG_00730
KAN1670928.1	O60020	40.6	2.6e-68	Aspartic protease	3.4.23.-	GO:0004190;GO:0005576;GO:0006508	
KAN1670929.1	Q53H82	36.8	2.8e-55	Endoribonuclease LACTB2	3.1.27.- {ECO:0000269|PubMed:26826708}	GO:0003727;GO:0004521;GO:0005654;GO:0005739;GO:0005759;GO:0005794;GO:0005829;GO:0008270;GO:0016787	hsa:51110
KAN1670930.1	Q5KIM6	67.7	0.0e+00	Elongation factor 3	3.6.4.- {ECO:0000269|PubMed:11244063}	GO:0002182;GO:0003723;GO:0003746;GO:0005524;GO:0005829;GO:0016887	cne:CND02420
KAN1670937.1	P0CS46	53.1	3.8e-70	Polyadenylation factor subunit 2		GO:0005847;GO:0007059;GO:0031124	cne:CNC01430
KAN1670938.1	O95685	36.3	1.9e-09	Protein phosphatase 1 regulatory subunit 3D		GO:0000164;GO:0004722;GO:0005977;GO:0005979;GO:0005981;GO:0008157;GO:0042587;GO:2001069	hsa:5509
KAN1670940.1	B0D360	82.2	7.7e-157	Adenylate kinase	2.7.4.3 {ECO:0000255|HAMAP-Rule:MF_03168}	GO:0004017;GO:0005524;GO:0005758;GO:0005829;GO:0006172;GO:0046033;GO:0046034	lbc:LACBIDRAFT_290988
KAN1670941.1	P45971	32.7	3.2e-49	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit		GO:0006487;GO:0008250;GO:0036498	cel:CELE_T09A5.11
KAN1670942.1	Q9P791	42.2	6.6e-36	Uncharacterized Nudix hydrolase P35G2.12	3.6.-.-	GO:0005634;GO:0005829;GO:0006753;GO:0009191;GO:0019693;GO:0047631	spo:2541356
KAN1670946.1	Q7RRM4	30.7	5.0e-47	T-cell immunomodulatory protein homolog		GO:0005886	pyo:PY17X_1247000
KAN1670948.1	O94520	44.1	9.0e-24	ER membrane protein complex subunit 4		GO:0005783;GO:0045048;GO:0072546	spo:2539075
KAN1670962.1	Q15427	64.5	7.1e-92	Splicing factor 3B subunit 4		GO:0000375;GO:0000387;GO:0000388;GO:0000398;GO:0003723;GO:0005634;GO:0005654;GO:0005681;GO:0005684;GO:0005686;GO:0005689;GO:0006397;GO:0008380;GO:0071005;GO:0071011;GO:1903241;GO:1990935	hsa:10262
KAN1670964.1	Q01112	91.1	1.2e-112	Cell division control protein 42 homolog	3.6.5.2 {ECO:0000250|UniProtKB:P60953}	GO:0003924;GO:0005525;GO:0005886;GO:0005938;GO:0006897;GO:0007015;GO:0007165;GO:0007264;GO:0009898;GO:0012505;GO:0017157;GO:0019901;GO:0030010;GO:0030427;GO:0031520;GO:0032153;GO:0032154;GO:0032878;GO:0032951;GO:0032955;GO:0033157;GO:0035591;GO:0042815;GO:0043332;GO:0043539;GO:0051285;GO:0051286;GO:0051301;GO:0060627;GO:0070382;GO:0071521;GO:0090726;GO:0097575;GO:0101026;GO:0110085;GO:1902716;GO:1902917;GO:2000769;GO:2001135	spo:2543027
KAN1670965.1	P40386	38.5	4.5e-108	Probable thiamine biosynthetic bifunctional enzyme	2.5.1.3;2.7.1.50	GO:0000287;GO:0004417;GO:0004789;GO:0005524;GO:0005737;GO:0005829;GO:0009228;GO:0009229	spo:2541872
KAN1670966.1	O42906	60.0	3.1e-125	GPN-loop GTPase 1	3.6.5.- {ECO:0000250|UniProtKB:P47122}	GO:0003924;GO:0005525;GO:0005829;GO:0016887;GO:0046872;GO:1990114	spo:2540123
KAN1670967.1	P00546	66.6	3.9e-134	Cyclin-dependent kinase 1	2.7.11.22 {ECO:0000250|UniProtKB:P04551}	GO:0000082;GO:0000086;GO:0000122;GO:0000278;GO:0000307;GO:0000706;GO:0000729;GO:0000993;GO:0004672;GO:0004674;GO:0004693;GO:0005524;GO:0005634;GO:0005737;GO:0005783;GO:0005935;GO:0006303;GO:0006355;GO:0006370;GO:0006892;GO:0006974;GO:0007130;GO:0007165;GO:0010494;GO:0010568;GO:0010570;GO:0010571;GO:0010696;GO:0010898;GO:0030163;GO:0032210;GO:0032880;GO:0034504;GO:0042393;GO:0045819;GO:0045875;GO:0045892;GO:0045893;GO:0045930;GO:0045931;GO:0045944;GO:0051301;GO:0051446;GO:0051447;GO:0090169;GO:0090307;GO:0106310;GO:1901319;GO:1902275;GO:1902806;GO:1902889;GO:1903500;GO:1904291;GO:1905168;GO:1905634;GO:1990139;GO:1990758;GO:2001033	sce:YBR160W
KAN1670968.1	Q96T88	50.9	2.0e-10	E3 ubiquitin-protein ligase UHRF1	2.3.2.27 {ECO:0000269|PubMed:22945642, ECO:0000269|PubMed:27595565, ECO:0000269|PubMed:30392929, ECO:0000269|PubMed:30392931, ECO:0000269|PubMed:37728657}	GO:0000122;GO:0000724;GO:0000785;GO:0000791;GO:0000792;GO:0000987;GO:0003676;GO:0004842;GO:0005634;GO:0005654;GO:0005657;GO:0005819;GO:0006351;GO:0006511;GO:0006974;GO:0008270;GO:0008327;GO:0016363;GO:0016567;GO:0031507;GO:0035825;GO:0040029;GO:0042393;GO:0042802;GO:0044027;GO:0044729;GO:0045944;GO:0050678;GO:0051247;GO:0051865;GO:0061630;GO:0062072;GO:0071168;GO:0090307;GO:0140234;GO:0140248;GO:0140612;GO:0140851;GO:0141055;GO:0141119	hsa:29128
KAN1670969.1	Q4KLJ8	35.6	8.8e-29	Phosducin-like protein 3		GO:0001525;GO:0001938;GO:0005654;GO:0005737;GO:0005783;GO:0005829;GO:0006457;GO:0006915;GO:0010628;GO:0030036;GO:0032991;GO:0034605;GO:0043184;GO:0044183;GO:0045766;GO:0048471;GO:0050730;GO:0050821;GO:0097356;GO:1903333;GO:2000059	rno:316348
KAN1670971.1	P0CQ08	42.8	5.8e-282	PAN2-PAN3 deadenylation complex catalytic subunit PAN2	3.1.13.4 {ECO:0000255|HAMAP-Rule:MF_03182}	GO:0000289;GO:0000932;GO:0003676;GO:0004535;GO:0006397;GO:0031251;GO:0046872	cne:CND04900
