protein_id	sprot_acc	pident	protein_name	EC	signal_peptide	n_TM_outside_signal	secreted
KAN1670732.1	Q54YZ9	45.7	Hybrid signal transduction histidine kinase J	2.7.13.3		0	0
KAN1670733.1	Q9UUH4	62.0	C-4 methylsterol oxidase erg25	1.14.18.- {ECO:0000250|UniProtKB:P53045}		1	0
KAN1670738.1	O14189	42.9	Protein phosphatase 2C homolog C10F6.17c	3.1.3.16		0	0
KAN1670743.1	Q9C0V1	59.3	Ammonium transporter 1			11	0
KAN1670744.1	O05220	37.5	Uncharacterized protein YwrF			0	0
KAN1670745.1	P15937	65.4	Acetyl-CoA hydrolase	3.1.2.1		0	0
KAN1670751.1	D4B0X3	44.7	Probable alpha/beta-glucosidase ARB_02101	3.2.1.20 {ECO:0000250|UniProtKB:Q5AWI5};3.2.1.21 {ECO:0000250|UniProtKB:Q5AWI5}	1-21	0	1
KAN1670752.1	A2QK68	34.6	FAD-binding monooxygenase ktnD	1.14.13.- {ECO:0000305}		2	0
KAN1670755.1	A6SSW9	33.5	Oxidoreductase BOA17	1.-.-.- {ECO:0000305|PubMed:21722295}		0	0
KAN1670756.1	A2QK68	33.8	FAD-binding monooxygenase ktnD	1.14.13.- {ECO:0000305}		2	0
KAN1670757.1	P43067	45.9	Alcohol dehydrogenase 1	1.1.1.1		0	0
KAN1670760.1	Q54PK9	31.0	3-phosphoinositide-dependent protein kinase B	2.7.11.1		0	0
KAN1670768.1	Q6PUR6	59.9	GPN-loop GTPase 2	3.6.5.- {ECO:0000250|UniProtKB:P47122}		0	0
KAN1670770.1	Q2UPA7	31.4	Dehydrogenase aclE	1.-.-.- {ECO:0000305|PubMed:25302411}	1-19	0	1
KAN1670771.1	Q9KAH1	39.3	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase	1.1.1.18 {ECO:0000255|HAMAP-Rule:MF_01671};1.1.1.369 {ECO:0000255|HAMAP-Rule:MF_01671}		0	0
KAN1670773.1	G0REY8	52.4	AA14 family lytic polysaccharide monooxygenase A	1.14.99.- {ECO:0000269|PubMed:37418595}	1-17	0	1
KAN1670774.1	P38988	63.4	Mitochondrial GTP/GDP carrier protein 1			6	0
KAN1670775.1	Q2UPA7	31.0	Dehydrogenase aclE	1.-.-.- {ECO:0000305|PubMed:25302411}	1-19	0	1
KAN1670780.1	Q2UPA7	31.9	Dehydrogenase aclE	1.-.-.- {ECO:0000305|PubMed:25302411}	1-19	0	1
KAN1670789.1	A0A1L7VET6	36.7	FAD-dependent monooxygenase FUP4	1.-.-.- {ECO:0000269|PubMed:34357940}	1-19	0	1
KAN1670790.1	O74965	42.4	Eukaryotic translation initiation factor 2A			0	0
KAN1670797.1	Q6AYT7	32.8	Lysophosphatidylserine lipase ABHD12	3.1.-.- {ECO:0000250|UniProtKB:Q8N2K0};3.1.1.- {ECO:0000250|UniProtKB:Q8N2K0};3.1.1.23 {ECO:0000250|UniProtKB:Q8N2K0}		1	0
KAN1670799.1	P80235	43.0	Putative mitochondrial carnitine O-acetyltransferase	2.3.1.7		0	0
KAN1670801.1	A9NEN2	32.8	Small ribosomal subunit protein uS7			0	0
KAN1670810.1	Q9P7W0	33.5	OPA3-like protein			0	0
KAN1670813.1	O60078	48.8	Probable prephenate dehydrogenase [NADP(+)]	1.3.1.13		0	0
KAN1670814.1	A6S9N4	41.9	Actin cytoskeleton-regulatory complex protein pan1			0	0
KAN1670815.1	Q9RPT1	42.2	Rhamnolipids biosynthesis 3-oxoacyl-[acyl-carrier-protein] reductase	1.1.1.100		0	0
KAN1670821.1	O42875	43.8	Tryptophan--tRNA ligase, mitochondrial	6.1.1.2		0	0
KAN1670822.1	P87064	78.4	DOPA 4,5-dioxygenase	1.14.99.-		0	0
KAN1670833.1	P47033	42.9	Cell wall protein PRY3		1-18	0	1
KAN1670842.1	Q9UUE7	34.7	Cell division control protein 73			0	0
KAN1670843.1	P47033	39.7	Cell wall protein PRY3		1-18	0	1
KAN1670844.1	P47032	42.8	Protein PRY1		1-19	0	1
KAN1670846.1	Q8GWB7	30.0	Inositol phosphorylceramide glucuronosyltransferase 1	2.4.1.17 {ECO:0000269|PubMed:25122154}		6	0
KAN1670849.1	Q8GWB7	30.6	Inositol phosphorylceramide glucuronosyltransferase 1	2.4.1.17 {ECO:0000269|PubMed:25122154}		6	0
KAN1670852.1	F4KFV7	34.4	DExH-box ATP-dependent RNA helicase DExH18, mitochondrial	3.6.4.13		0	0
KAN1670855.1	Q9R062	31.2	Glycogenin-1	2.4.1.186 {ECO:0000250|UniProtKB:P46976}		0	0
KAN1670856.1	A2A559	33.5	GPI-specific phospholipase A2-like PGAP3	3.1.1.- {ECO:0000250|UniProtKB:A2V7M9}	1-23	7	0
KAN1670857.1	O13298	60.1	Histone deacetylase phd1	3.5.1.98 {ECO:0000269|PubMed:9781677}		0	0
KAN1670858.1	P53806	31.9	Calcipressin-like protein			0	0
KAN1670859.1	O94389	44.5	Coiled-coil domain-containing protein 124 homolog			0	0
KAN1670862.1	P32264	44.4	Glutamate 5-kinase	2.7.2.11		0	0
KAN1670868.1	I6X8D2	31.3	Polyketide synthase Pks13	2.3.1.- {ECO:0000269|PubMed:19436070, ECO:0000269|PubMed:25467124}		0	0
KAN1670869.1	P40309	39.7	K(+)/H(+) antiporter 1			13	0
KAN1670871.1	G2JHL6	32.1	Quorum-quenching protein AidA			0	0
KAN1670872.1	Q7TXK8	33.4	Phenolphthiocerol synthesis polyketide synthase type I Pks15/1	2.3.1.41		0	0
KAN1670873.1	A0A0U3C228	57.0	Flavin-dependent halogenase armH5	1.14.19.- {ECO:0000269|PubMed:26655762}		0	0
KAN1670875.1	Q02895	41.0	Putative aryl-alcohol dehydrogenase AAD16	1.1.1.-		0	0
KAN1670876.1	O94738	35.5	Alpha-1,3/1,6-mannosyltransferase ALG2	2.4.1.132 {ECO:0000250|UniProtKB:P43636};2.4.1.257 {ECO:0000250|UniProtKB:P43636}		2	0
KAN1670879.1	A0A6S6QPY4	37.9	Cytochrome P450 monooxygenase ple5B	1.-.-.- {ECO:0000269|PubMed:28924980}		1	0
KAN1670880.1	Q54MJ7	48.1	Probable alanine aminotransferase, mitochondrial	2.6.1.2		0	0
KAN1670881.1	F1SYH0	59.8	Cytochrome P450 monooxygenase 205	1.-.-.- {ECO:0000269|PubMed:21938516}		1	0
KAN1670882.1	S7QP81	46.7	AA9 family lytic polysaccharide monooxygenase D	1.14.99.54 {ECO:0000305|PubMed:27590806};1.14.99.56 {ECO:0000305|PubMed:27590806}	1-23	0	1
KAN1670883.1	F1SYH0	52.8	Cytochrome P450 monooxygenase 205	1.-.-.- {ECO:0000269|PubMed:21938516}		1	0
KAN1670884.1	O94628	37.7	Uncharacterized methyltransferase C1347.09	2.1.1.-		0	0
KAN1670885.1	O94628	40.9	Uncharacterized methyltransferase C1347.09	2.1.1.-		0	0
KAN1670888.1	O14170	40.4	WD repeat-containing protein pop2			0	0
KAN1670889.1	A9ZND1	32.4	Xylan 1,3-beta-xylosidase	3.2.1.72		0	0
KAN1670890.1	A0A067PCX8	82.6	Class I hydrophobin 6		1-19	0	1
KAN1670891.1	G2X8Q8	64.9	Eliciting plant response-like protein CP1		1-18	0	1
KAN1670892.1	A0A2H3CNY6	38.3	Cytochrome P450 monooxygenase ARMGADRAFT_974139	1.-.-.-		1	0
KAN1670893.1	O59729	49.3	Uncharacterized protein slp1		1-25	1	0
KAN1670897.1	O00092	33.0	Phytase A	3.1.3.- {ECO:0000269|PubMed:9925555};3.1.3.8 {ECO:0000269|PubMed:9925555}	1-26	0	1
KAN1670898.1	G8FPZ8	63.4	Eliciting plant response-like protein 1		1-18	0	1
KAN1670899.1	A0A2H3CNY6	37.4	Cytochrome P450 monooxygenase ARMGADRAFT_974139	1.-.-.-		1	0
KAN1670901.1	O94623	30.1	Translesion synthesis protein rev1	2.7.7.- {ECO:0000250|UniProtKB:P12689}		0	0
KAN1670902.1	G2X8Q8	51.5	Eliciting plant response-like protein CP1		1-18	0	1
KAN1670904.1	Q9CZP5	31.9	Mitochondrial chaperone BCS1	3.6.1.- {ECO:0000250|UniProtKB:P32839}		1	0
KAN1670905.1	G2X8Q8	59.5	Eliciting plant response-like protein CP1		1-18	0	1
KAN1670906.1	G9PB60	60.0	Eliciting plant response-like protein 1		1-18	0	1
KAN1670907.1	A0A067P1K6	94.8	Class I hydrophobin 1		1-19	0	1
KAN1670908.1	D4AYW0	30.0	ABC transporter G family member ARB_01379		1-15	9	0
KAN1670909.1	C4JNM2	42.9	Carboxypeptidase Y homolog A	3.4.16.5	1-17	0	1
KAN1670912.1	G2X8Q8	66.9	Eliciting plant response-like protein CP1		1-18	0	1
KAN1670913.1	C0NX46	45.2	Carboxypeptidase Y homolog A	3.4.16.5	1-17	0	1
KAN1670916.1	A0A067PCX8	62.3	Class I hydrophobin 6		1-19	0	1
KAN1670917.1	Q03002	31.3	Fatty acyl-CoA synthetase and RNA processing-associated kinase 1	2.7.11.1		0	0
KAN1670918.1	C4LCV3	35.1	L-rhamnose mutarotase	5.1.3.32 {ECO:0000255|HAMAP-Rule:MF_01663}		0	0
KAN1670919.1	F1SY68	39.2	Cytochrome P450 monooxygenase 67	1.-.-.- {ECO:0000269|PubMed:21938516}		1	0
KAN1670922.1	P0CM96	63.8	Pre-mRNA-splicing factor CWC22			0	0
KAN1670923.1	F1SY68	38.3	Cytochrome P450 monooxygenase 67	1.-.-.- {ECO:0000269|PubMed:21938516}		1	0
KAN1670925.1	J9VME1	50.7	ABC multidrug transporter AFR1			12	0
KAN1670928.1	O60020	40.6	Aspartic protease	3.4.23.-	1-21	0	1
KAN1670929.1	Q53H82	36.8	Endoribonuclease LACTB2	3.1.27.- {ECO:0000269|PubMed:26826708}		0	0
KAN1670930.1	Q5KIM6	67.7	Elongation factor 3	3.6.4.- {ECO:0000269|PubMed:11244063}		0	0
KAN1670937.1	P0CS46	53.1	Polyadenylation factor subunit 2			0	0
KAN1670938.1	O95685	36.3	Protein phosphatase 1 regulatory subunit 3D			0	0
KAN1670940.1	B0D360	82.2	Adenylate kinase	2.7.4.3 {ECO:0000255|HAMAP-Rule:MF_03168}		0	0
KAN1670941.1	P45971	32.7	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit		1-20	1	0
KAN1670942.1	Q9P791	42.2	Uncharacterized Nudix hydrolase P35G2.12	3.6.-.-		0	0
KAN1670946.1	Q7RRM4	30.7	T-cell immunomodulatory protein homolog		1-29	1	0
KAN1670948.1	O94520	44.1	ER membrane protein complex subunit 4			2	0
KAN1670962.1	Q15427	64.5	Splicing factor 3B subunit 4			0	0
KAN1670964.1	Q01112	91.1	Cell division control protein 42 homolog	3.6.5.2 {ECO:0000250|UniProtKB:P60953}		0	0
KAN1670965.1	P40386	38.5	Probable thiamine biosynthetic bifunctional enzyme	2.5.1.3;2.7.1.50		0	0
KAN1670966.1	O42906	60.0	GPN-loop GTPase 1	3.6.5.- {ECO:0000250|UniProtKB:P47122}		0	0
KAN1670967.1	P00546	66.6	Cyclin-dependent kinase 1	2.7.11.22 {ECO:0000250|UniProtKB:P04551}		0	0
KAN1670968.1	Q96T88	50.9	E3 ubiquitin-protein ligase UHRF1	2.3.2.27 {ECO:0000269|PubMed:22945642, ECO:0000269|PubMed:27595565, ECO:0000269|PubMed:30392929, ECO:0000269|PubMed:30392931, ECO:0000269|PubMed:37728657}		0	0
KAN1670969.1	Q4KLJ8	35.6	Phosducin-like protein 3			0	0
KAN1670971.1	P0CQ08	42.8	PAN2-PAN3 deadenylation complex catalytic subunit PAN2	3.1.13.4 {ECO:0000255|HAMAP-Rule:MF_03182}		0	0
KAN1670973.1	O43043	30.3	Sterol regulatory element-binding protein cleavage-activating protein			8	0
KAN1670974.1	G0S5Q0	47.2	Pyruvate dehydrogenase complex protein X component, mitochondrial			0	0
KAN1670975.1	Q4ILH3	34.6	GPI ethanolamine phosphate transferase 1	2.-.-.-		15	0
KAN1670976.1	Q7SAP1	49.9	GPI ethanolamine phosphate transferase 1	2.-.-.-		15	0
KAN1670977.1	P17871	90.6	TATA-box-binding protein			0	0
KAN1670978.1	Q09692	65.6	Tryptophan--tRNA ligase, cytoplasmic	6.1.1.2		0	0
KAN1670979.1	B9F166	37.1	Probable cytokinin riboside 5'-monophosphate phosphoribohydrolase LOGL2	3.2.2.n1		0	0
KAN1670980.1	P0CO06	48.9	Histone acetyltransferase type B catalytic subunit	2.3.1.48 {ECO:0000250|UniProtKB:Q12341}		0	0
KAN1670981.1	T2KLZ3	35.0	Unsaturated glucuronyl hydrolase	3.2.1.- {ECO:0000269|PubMed:31285597}	1-20	0	1
KAN1670987.1	Q54YS0	55.1	DNA-binding protein DDB_G0278111			0	0
KAN1670991.1	Q1RJT3	41.7	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	2.3.1.12		0	0
KAN1670993.1	Q10100	63.7	Nuclear transport factor 2			0	0
KAN1670995.1	T2KLZ3	40.5	Unsaturated glucuronyl hydrolase	3.2.1.- {ECO:0000269|PubMed:31285597}	1-20	0	1
KAN1670996.1	Q9URZ5	62.2	Vacuolar protein sorting-associated protein 1			0	0
KAN1670997.1	Q8NJ73	55.4	Endo-1,4-beta-xylanase 6	3.2.1.8	1-21	0	1
KAN1671001.1	Q9C9G6	53.9	Protein AE7			0	0
KAN1671002.1	Q9VWB1	32.1	DCN1-like protein 4			0	0
KAN1671004.1	Q5AW25	49.9	Alpha-xylosidase	3.2.1.177 {ECO:0000269|PubMed:16844780}		0	0
KAN1671005.1	Q6HA23	57.7	Glutathione reductase	1.8.1.7		0	0
KAN1671008.1	P12887	50.4	Uracil-DNA glycosylase	3.2.2.27 {ECO:0000255|HAMAP-Rule:MF_03166}		0	0
KAN1671009.1	Q09818	55.2	Putative general negative regulator of transcription C16C9.04c			0	0
KAN1671010.1	Q94AX4	42.9	D-lactate dehydrogenase [cytochrome], mitochondrial	1.1.2.4 {ECO:0000269|PubMed:14966218, ECO:0000269|PubMed:19586914}		0	0
KAN1671015.1	O59948	71.3	Eukaryotic peptide chain release factor subunit 1			0	0
KAN1671017.1	A0A084AFG6	37.2	Taurine hydroxylase-like protein SAT17	1.-.-.- {ECO:0000305|PubMed:25015739}		0	0
KAN1671022.1	B9WYE6	51.0	Versiconal hemiacetal acetate reductase	1.1.1.353		0	0
KAN1671024.1	A0A0E3D8M4	40.2	Monooxygenase PC-14	1.-.-.- {ECO:0000305|PubMed:26213965}		0	0
KAN1671026.1	B0XPE7	40.3	TATA-binding protein-associated factor mot1	3.6.4.- {ECO:0000250|UniProtKB:P32333}		0	0
KAN1671027.1	Q9W0M3	38.9	Jumonji C domain-containing protein 5	1.14.11.73 {ECO:0000250|UniProtKB:Q8N371};3.4.-.- {ECO:0000250|UniProtKB:Q8N371}		0	0
KAN1671029.1	P81296	51.5	Ribonuclease Le2	4.6.1.19		0	0
KAN1671030.1	Q9P7K9	46.8	Putative aldehyde dehydrogenase-like protein C21C3	1.2.1.-		0	0
KAN1671032.1	Q6BJY4	35.5	KNR4/SMI1 homolog 2			0	0
KAN1671033.1	Q99161	43.3	Translocation protein SEC62			2	0
KAN1671034.1	B9WYE6	47.8	Versiconal hemiacetal acetate reductase	1.1.1.353		0	0
KAN1671035.1	Q9W058	51.9	Succinyl-CoA:3-ketoacid-coenzyme A transferase, mitochondrial	2.8.3.5 {ECO:0000255|PIRNR:PIRNR000858, ECO:0000269|PubMed:24100554}		0	0
KAN1671036.1	Q17A58	30.4	Twinfilin			0	0
KAN1671038.1	Q9LU46	61.1	DEAD-box ATP-dependent RNA helicase 35	3.6.4.13		0	0
KAN1671039.1	Q6C7K8	39.0	Chromatin modification-related protein EAF1			0	0
KAN1671040.1	A2QX52	37.6	Probable glucan 1,3-beta-glucosidase D	3.2.1.58		1	0
KAN1671043.1	O74113	33.9	Cell division control protein 45 homolog			0	0
KAN1671045.1	D4B0V1	42.8	Probable glucan endo-1,3-beta-glucosidase ARB_02077	3.2.1.39 {ECO:0000250|UniProtKB:P53626}	1-27	0	1
KAN1671047.1	D4B0V1	39.6	Probable glucan endo-1,3-beta-glucosidase ARB_02077	3.2.1.39 {ECO:0000250|UniProtKB:P53626}	1-27	0	1
KAN1671049.1	Q89WA9	38.6	Translation initiation factor IF-2			0	0
KAN1671052.1	O74184	60.1	Target of rapamycin complex subunit wat1			0	0
KAN1671053.1	Q9C102	66.0	Glutamate synthase [NADH]	1.4.1.14 {ECO:0000269|PubMed:7773104}		0	0
KAN1671054.1	Q9UUD8	34.7	Uncharacterized peptidase C18A7.01	3.4.-.-		0	0
KAN1671055.1	Q9C102	64.2	Glutamate synthase [NADH]	1.4.1.14 {ECO:0000269|PubMed:7773104}		0	0
KAN1671056.1	Q9UUD8	34.5	Uncharacterized peptidase C18A7.01	3.4.-.-		0	0
KAN1671059.1	A0A286LF01	37.6	Major facilitator-type transporter psiT2			11	0
KAN1671061.1	Q8IS64	30.7	Endothelin-converting enzyme homolog	3.4.24.- {ECO:0000250|UniProtKB:P42892}		1	0
KAN1671062.1	P32335	34.2	Protein MSS51, mitochondrial			0	0
KAN1671063.1	O94153	60.1	Imidazoleglycerol-phosphate dehydratase	4.2.1.19		0	0
KAN1671066.1	A0A1V0QS34	44.6	Short-chain dehydrogenase/reductase eriB	1.1.1.- {ECO:0000305|PubMed:28371074}		0	0
KAN1671069.1	Q0CJC5	32.2	Trans-enoyl reductase pgmF	1.-.-.- {ECO:0000305|PubMed:35351612}		0	0
KAN1671070.1	A0A1W5T4X6	30.1	Trans-enoyl reductase poxH	1.-.-.- {ECO:0000305|PubMed:28365998}		0	0
KAN1671072.1	O14027	81.0	Probable pyridoxal 5'-phosphate synthase subunit PDX1	4.3.3.6		0	0
KAN1671080.1	Q9UT84	34.7	Phospholipid scramblase family protein C343.06c			0	0
KAN1671083.1	J9VDQ4	38.4	Vacuolar calcium ion transporter			11	0
KAN1671084.1	J9VDQ4	38.0	Vacuolar calcium ion transporter			11	0
KAN1671088.1	P33723	91.3	GTP-binding protein ypt1			0	0
KAN1671091.1	P0CP24	32.8	Nucleolar protein 16			0	0
KAN1671092.1	Q8K370	38.1	Acyl-CoA dehydrogenase family member 10	1.3.99.-		0	0
KAN1671093.1	P12815	47.8	Programmed cell death protein 6			0	0
KAN1671094.1	Q8LPS1	41.6	Long chain acyl-CoA synthetase 6, peroxisomal	6.2.1.3 {ECO:0000269|PubMed:12177484, ECO:0000269|PubMed:12366803}		0	0
KAN1671095.1	Q0CJC5	33.8	Trans-enoyl reductase pgmF	1.-.-.- {ECO:0000305|PubMed:35351612}		0	0
KAN1671096.1	Q5BKF8	39.2	Cyclin-L2			0	0
KAN1671099.1	Q0CJC5	34.3	Trans-enoyl reductase pgmF	1.-.-.- {ECO:0000305|PubMed:35351612}		0	0
KAN1671101.1	Q3B7M2	44.1	Hydroxyacylglutathione hydrolase, mitochondrial	3.1.2.6 {ECO:0000250|UniProtKB:Q16775}		0	0
KAN1671103.1	Q9U5L1	39.9	Signal recognition particle receptor subunit alpha homolog			0	0
KAN1671104.1	P0CO08	59.0	Pre-mRNA-splicing factor SYF1			0	0
KAN1671105.1	O94412	34.4	Geranylgeranyl transferase type-2 subunit alpha	2.5.1.60		0	0
KAN1671107.1	O14206	38.8	Brix domain-containing protein C1B9.03c			0	0
KAN1671108.1	P9WES7	57.6	Putative holocytochrome-c1 synthase	4.4.1.17 {ECO:0000250|UniProtKB:Q00873}		0	0
KAN1671109.1	Q0S7Q1	39.2	(3aS,4S,5R,7aS)-5-hydroxy-7a-methyl-1-oxo-octahydro-1H-indene-4-carboxyl-CoA dehydrogenase	1.3.1.- {ECO:0000250|UniProtKB:P71847}		0	0
KAN1671111.1	P16912	56.1	cAMP-dependent protein kinase catalytic subunit 3	2.7.11.1		0	0
KAN1671112.1	Q21215	36.2	Small ribosomal subunit protein RACK1			0	0
KAN1671116.1	O14466	66.8	Dolichol-phosphate mannosyltransferase	2.4.1.83 {ECO:0000250|UniProtKB:O60762}		0	0
KAN1671117.1	Q9SXU1	68.2	Proteasome subunit alpha type-7			0	0
KAN1671118.1	Q3T9Z9	36.5	Zinc finger-containing ubiquitin peptidase 1	3.4.19.12 {ECO:0000250|UniProtKB:Q96AP4}		0	0
KAN1671119.1	O74741	44.0	4,5-DOPA dioxygenase extradiol-like protein	1.13.-.-		0	0
KAN1671120.1	O94684	34.9	RNA polymerase II transcription factor B subunit 3			0	0
KAN1671124.1	P28584	39.5	Low-affinity potassium transport protein			12	0
KAN1671125.1	C0LGP4	32.5	Probable LRR receptor-like serine/threonine-protein kinase At3g47570	2.7.11.1	1-19	1	0
KAN1671126.1	Q9X7P6	30.8	D-amino-acid oxidase	1.4.3.3 {ECO:0000305|Ref.2}		0	0
KAN1671130.1	Q9XTI0	45.1	Probable 3-hydroxyisobutyrate dehydrogenase, mitochondrial	1.1.1.31		0	0
KAN1671132.1	Q9X7P6	31.3	D-amino-acid oxidase	1.4.3.3 {ECO:0000305|Ref.2}		0	0
KAN1671133.1	O13983	37.1	ATP-dependent helicase hrq1	5.6.2.4 {ECO:0000269|PubMed:22064477}		0	0
KAN1671134.1	Q9P7X5	34.7	Protein kinase domain-containing protein ppk32			0	0
KAN1671135.1	Q09868	36.3	RNA-binding post-transcriptional regulator cip2			0	0
KAN1671136.1	P56616	63.9	Ubiquitin-conjugating enzyme E2 C	2.3.2.23;2.3.2.24		0	0
KAN1671138.1	Q9HGL2	31.4	Uncharacterized calcium-binding protein C800.10c			0	0
KAN1671140.1	O46563	34.1	V-type proton ATPase subunit H			0	0
KAN1671142.1	Q10480	48.3	Nuclease 1, mitochondrial	3.1.30.-		0	0
KAN1671146.1	Q9NZC7	32.6	WW domain-containing oxidoreductase	1.1.1.-		0	0
KAN1671147.1	Q7Z9Z2	95.3	Tubulin gamma chain			0	0
KAN1671150.1	Q9URX1	48.1	UNC93-like protein C922.05c			11	0
KAN1671154.1	O34389	46.2	NAD-dependent malic enzyme 3	1.1.1.38 {ECO:0000269|PubMed:16788182}		0	0
KAN1671155.1	Q96NR8	34.1	Retinol dehydrogenase 12	1.1.1.300 {ECO:0000269|PubMed:12226107, ECO:0000269|PubMed:15865448}		0	0
KAN1671158.1	Q6FJN0	48.6	Multiprotein-bridging factor 1			0	0
KAN1671162.1	P0DO29	37.6	Dehydrogenase eriK	1.1.-.- {ECO:0000305|PubMed:31535864}	1-20	0	1
KAN1671164.1	P0CQ23	47.8	FACT complex subunit SPT16			0	0
KAN1671165.1	P87112	30.7	General negative regulator of transcription subunit 1			0	0
KAN1671167.1	Q1HRV4	63.6	Translation machinery-associated protein 7 homolog			0	0
KAN1671168.1	O55106	39.4	Striatin			0	0
KAN1671171.1	Q7SB98	40.4	Large ribosomal subunit protein uL15m			0	0
KAN1671172.1	O15442	37.0	Metallophosphoesterase domain-containing protein 1	3.1.-.-		0	0
KAN1671179.1	Q1MTQ5	45.6	Phospholipid-transporting ATPase accessory subunit mug89			3	0
KAN1671180.1	Q2HJ88	42.0	RNA 3'-terminal phosphate cyclase	6.5.1.4 {ECO:0000250|UniProtKB:O00442}		0	0
KAN1671183.1	Q02906	40.0	Alpha-amylase B	3.2.1.1	1-21	0	1
KAN1671184.1	P47843	31.6	Solute carrier family 2, facilitated glucose transporter member 3			12	0
KAN1671186.1	B0DOB5	30.6	Disheveled-associated activator of morphogenesis 1-A			0	0
KAN1671187.1	Q9V576	34.3	Putative phosphatidate phosphatase	3.1.3.4		4	0
KAN1671190.1	P30887	45.9	Acid phosphatase	3.1.3.2	1-17	0	1
KAN1671191.1	Q09698	31.2	Uncharacterized protein C2F7.07c			0	0
KAN1671192.1	Q9UT75	33.9	tRNA dimethylallyltransferase	2.5.1.75		0	0
KAN1671193.1	Q4FK66	60.8	Pre-mRNA-splicing factor 38A			0	0
KAN1671194.1	O74478	43.8	Probable phosphoribomutase	5.4.2.7 {ECO:0000250|UniProtKB:Q03262}		0	0
KAN1671196.1	O74533	50.8	Cytochrome b-c1 complex subunit 7			0	0
KAN1671197.1	Q6XI71	61.2	Nucleoside diphosphate kinase	2.7.4.6		0	0
KAN1671201.1	Q875Q8	47.1	Myosin-2			0	0
KAN1671202.1	A0A7U2MMF3	33.7	Zinc-type alcohol dehydrogenase B	1.1.1.1 {ECO:0000269|PubMed:39601562}		0	0
KAN1671203.1	B2AC45	36.9	Extracellular metalloprotease PODANS_2_14170	3.4.24.-	1-18	0	1
KAN1671204.1	J9VSG5	46.8	Chitin synthase regulator 2			0	0
KAN1671205.1	P0CO40	45.5	JmjC domain-containing histone demethylation protein 1	1.14.11.27 {ECO:0000250|UniProtKB:P40034}		0	0
KAN1671206.1	O94123	78.4	Phosphoglycerate kinase	2.7.2.3 {ECO:0000250|UniProtKB:P00560}		0	0
KAN1671208.1	B8NDL1	39.8	Probable arabinan endo-1,5-alpha-L-arabinosidase A	3.2.1.99	1-19	0	1
KAN1671209.1	P38149	31.1	Probable di- and tripeptidase DUG2	3.4.-.-		0	0
KAN1671210.1	B0Y3M6	42.1	Probable beta-glucosidase I	3.2.1.21		0	0
KAN1671211.1	O14037	51.2	UPF0538 protein C2C4.04c			0	0
KAN1671212.1	P43644	48.0	DnaJ protein homolog ANJ1			0	0
KAN1671213.1	Q10166	53.7	Hydrolase C26A3.11	3.5.-.-		0	0
KAN1671215.1	O59845	68.8	UMP-CMP kinase	2.7.4.14 {ECO:0000255|HAMAP-Rule:MF_03172}		0	0
KAN1671217.1	P49412	54.6	Protein priB			0	0
KAN1671218.1	P0CO94	57.3	Pre-mRNA-splicing factor CEF1			0	0
KAN1671222.1	Q10269	43.1	Probable sterol O-acyltransferase 1	2.3.1.-		8	0
