protein_id	sprot_acc	pident	evalue	protein_name	EC	GO	KEGG
KAJ8688705.1	P0CS95	51.9	1.3e-62	Orotate phosphoribosyltransferase	2.4.2.10	GO:0004588;GO:0005737;GO:0006207;GO:0006221;GO:0044205;GO:0046132	cne:CNG03730
KAJ8688706.1	A0A3B1EFQ1	64.2	5.3e-145	Aldo-keto reductase str7	1.1.1.- {ECO:0000305|PubMed:30258052}	GO:0005737;GO:0016491	
KAJ8688710.1	P30693	36.4	3.1e-07	17.6 kDa class I heat shock protein		GO:0005737	
KAJ8688712.1	A0A8K1Y6E0	32.0	7.0e-20	UstYa family oxidase phomYc	1.-.-.- {ECO:0000305|PubMed:34608734}	GO:0016020;GO:0016491;GO:0043386	
KAJ8688713.1	Q1LXK4	36.4	4.4e-132	Probable RNA helicase mov-10-B.1	5.6.2.5 {ECO:0000250|UniProtKB:Q9HCE1}	GO:0000932;GO:0003723;GO:0005524;GO:0005829;GO:0016887;GO:0032574;GO:0035194;GO:0035279;GO:0043186	dre:556024
KAJ8688717.1	B6QG01	51.9	4.7e-11	Probable Xaa-Pro aminopeptidase P	3.4.11.9	GO:0005737;GO:0006508;GO:0046872;GO:0070006	
KAJ8688718.1	B0DZL3	62.5	8.8e-157	Probable Xaa-Pro aminopeptidase P	3.4.11.9	GO:0005737;GO:0006508;GO:0046872;GO:0070006	lbc:LACBIDRAFT_315028
KAJ8688727.1	Q9P6N5	32.3	2.0e-51	Dihydrosphingosine 1-phosphate phosphatase C823.11	3.1.3.-	GO:0005789;GO:0030148;GO:0042392;GO:0046839	spo:2543496
KAJ8688728.1	Q9P6N5	34.6	3.6e-48	Dihydrosphingosine 1-phosphate phosphatase C823.11	3.1.3.-	GO:0005789;GO:0030148;GO:0042392;GO:0046839	spo:2543496
KAJ8688730.1	A0A1V0QSC6	39.2	2.9e-40	Short-chain dehydrogenase/reductase eriH	1.1.1.- {ECO:0000269|PubMed:31535864}	GO:0016616;GO:0030497	
KAJ8688733.1	J9VS37	39.6	6.7e-58	Aspartokinase	2.7.2.4 {ECO:0000250|UniProtKB:P10869}	GO:0004072;GO:0005524;GO:0005829;GO:0009088;GO:0009089;GO:0009090;GO:0071266	cng:CNAG_04347
KAJ8688735.1	P87317	39.1	1.5e-169	Uncharacterized protein C31F10.16		GO:0005634;GO:0005737;GO:0005829;GO:0006874;GO:0006893;GO:0006896;GO:0015031;GO:0032153;GO:0034044;GO:0043001	spo:2540240
KAJ8688741.1	Q499P8	34.7	2.6e-36	RUS family member 1		GO:0016020	rno:361654
KAJ8688742.1	Q9UTQ8	33.2	4.6e-39	Histidine protein methyltransferase 1	2.1.1.85 {ECO:0000250|UniProtKB:P40481}	GO:0005634;GO:0005829;GO:0006417;GO:0018064;GO:0032259;GO:0180023	spo:2542951
KAJ8688743.1	Q9UTQ8	33.1	1.8e-38	Histidine protein methyltransferase 1	2.1.1.85 {ECO:0000250|UniProtKB:P40481}	GO:0005634;GO:0005829;GO:0006417;GO:0018064;GO:0032259;GO:0180023	spo:2542951
KAJ8688750.1	A0A3B1EFQ1	59.1	3.2e-132	Aldo-keto reductase str7	1.1.1.- {ECO:0000305|PubMed:30258052}	GO:0005737;GO:0016491	
KAJ8688751.1	A0A3B1EFQ1	63.6	7.1e-124	Aldo-keto reductase str7	1.1.1.- {ECO:0000305|PubMed:30258052}	GO:0005737;GO:0016491	
KAJ8688757.1	Q04456	38.5	2.1e-09	Gut esterase 1	3.1.1.1	GO:0005777;GO:0005788;GO:0106435	cbr:CBG_06418
KAJ8688763.1	P24289	38.2	7.2e-21	Nuclease P1	3.1.30.1 {ECO:0000250|UniProtKB:Q9SXA6}	GO:0003676;GO:0004519;GO:0005576;GO:0006308;GO:0016788;GO:0046872	
KAJ8688764.1	P24289	37.3	4.1e-18	Nuclease P1	3.1.30.1 {ECO:0000250|UniProtKB:Q9SXA6}	GO:0003676;GO:0004519;GO:0005576;GO:0006308;GO:0016788;GO:0046872	
KAJ8688765.1	P17573	30.9	7.5e-39	Lipase 1	3.1.1.3	GO:0004806;GO:0005576;GO:0016042	
KAJ8688769.1	Q8K3A9	39.3	6.3e-46	7SK snRNA methylphosphate capping enzyme	2.1.1.- {ECO:0000250|UniProtKB:Q7L2J0}	GO:0000122;GO:0001510;GO:0003723;GO:0005634;GO:0008171;GO:0008173;GO:0008757;GO:0016073;GO:0017069;GO:0040031;GO:0097322;GO:0120259;GO:1900087;GO:1904871;GO:1905382;GO:1990276;GO:1990904	mmu:231803
KAJ8688770.1	Q99LG0	32.6	1.6e-14	Ubiquitin carboxyl-terminal hydrolase 16	3.4.19.12 {ECO:0000255|HAMAP-Rule:MF_03062}	GO:0003713;GO:0004197;GO:0004843;GO:0005634;GO:0005737;GO:0006351;GO:0006357;GO:0006508;GO:0006974;GO:0008270;GO:0035520;GO:0042393;GO:0043024;GO:0043130;GO:0045893;GO:0045901;GO:0045944;GO:0051289;GO:0051301;GO:0051726;GO:0090070;GO:0140014;GO:0140950	mmu:74112
KAJ8688772.1	Q10082	61.7	5.8e-84	Uncharacterized protein C11D3.03c		GO:0003824	
KAJ8688773.1	Q10082	61.9	4.4e-93	Uncharacterized protein C11D3.03c		GO:0003824	
KAJ8688774.1	P9WEI7	40.2	4.3e-114	Cytochrome P450 monooxygenase claR	1.-.-.- {ECO:0000269|PubMed:38602511}	GO:0004497;GO:0005506;GO:0016020;GO:0016705;GO:0020037	
KAJ8688775.1	F1SYH1	39.8	4.6e-102	Cytochrome P450 monooxygenase 208	1.-.-.- {ECO:0000269|PubMed:21938516}	GO:0004497;GO:0005506;GO:0016020;GO:0016705;GO:0020037	
KAJ8688776.1	F1SYH1	39.8	2.9e-100	Cytochrome P450 monooxygenase 208	1.-.-.- {ECO:0000269|PubMed:21938516}	GO:0004497;GO:0005506;GO:0016020;GO:0016705;GO:0020037	
KAJ8688778.1	Q25BW4	69.2	5.6e-248	Beta-glucosidase 1B	3.2.1.21	GO:0030245;GO:0080079	
KAJ8688779.1	Q9RBP5	30.5	7.4e-20	1-hydroxy-2-glutathionyl-2-methyl-3-butene dehydrogenase	1.1.1.398 {ECO:0000269|PubMed:10094686}	GO:0016616	ag:CAB55822
KAJ8688791.1	A0A168WVR6	44.1	2.1e-16	ADP-ribosylarginine hydrolase Tri1	3.2.2.19 {ECO:0000305|PubMed:30343895}	GO:0003875;GO:0046872	
KAJ8688795.1	A0A6S6QI82	53.4	4.4e-64	Cytochrome P450 monooxygenase ple1	1.-.-.- {ECO:0000269|PubMed:28924980}	GO:0004497;GO:0005506;GO:0016020;GO:0016114;GO:0016705;GO:0020037	
KAJ8688796.1	F1SY91	46.5	1.2e-75	Cytochrome P450 monooxygenase 98	1.-.-.- {ECO:0000269|PubMed:21938516}	GO:0004497;GO:0005506;GO:0016020;GO:0016705;GO:0020037	
KAJ8688802.1	F1SY91	43.6	1.7e-67	Cytochrome P450 monooxygenase 98	1.-.-.- {ECO:0000269|PubMed:21938516}	GO:0004497;GO:0005506;GO:0016020;GO:0016705;GO:0020037	
KAJ8688805.1	O59826	56.3	4.8e-117	Putative voltage-gated potassium channel subunit beta	1.1.1.- {ECO:0000250|UniProtKB:P62483}	GO:0005634;GO:0005829;GO:0016491;GO:0034702;GO:0071805	spo:2539573
KAJ8688808.1	P22142	76.2	4.9e-219	NADH-ubiquinone oxidoreductase 49 kDa subunit, mitochondrial	7.1.1.2	GO:0005743;GO:0006120;GO:0008137;GO:0016651;GO:0045271;GO:0046872;GO:0048038;GO:0051287;GO:0051539	ncr:NCU02534
KAJ8688809.1	P22142	76.2	1.1e-217	NADH-ubiquinone oxidoreductase 49 kDa subunit, mitochondrial	7.1.1.2	GO:0005743;GO:0006120;GO:0008137;GO:0016651;GO:0045271;GO:0046872;GO:0048038;GO:0051287;GO:0051539	ncr:NCU02534
KAJ8688810.1	P22142	76.9	1.4e-204	NADH-ubiquinone oxidoreductase 49 kDa subunit, mitochondrial	7.1.1.2	GO:0005743;GO:0006120;GO:0008137;GO:0016651;GO:0045271;GO:0046872;GO:0048038;GO:0051287;GO:0051539	ncr:NCU02534
KAJ8688811.1	O94404	44.2	2.9e-67	Protein NIF3 homolog		GO:0005634;GO:0005737;GO:0005739;GO:0005829	spo:2539063
KAJ8688814.1	A0A2B7YEY0	31.2	6.4e-71	Cytochrome P450 monooxygenase polD	1.-.-.- {ECO:0000269|PubMed:36602159}	GO:0004497;GO:0005506;GO:0016020;GO:0016705;GO:0020037	
KAJ8688815.1	A0A2H3CNS9	30.0	5.6e-51	Cytochrome P450 monooxygenase ARMGADRAFT_1018417	1.-.-.-	GO:0004497;GO:0005506;GO:0016020;GO:0016705;GO:0020037	
KAJ8688817.1	O43011	51.8	2.3e-170	Histidine--tRNA ligase, mitochondrial	6.1.1.21	GO:0002181;GO:0003723;GO:0004821;GO:0005524;GO:0005739;GO:0005759;GO:0005829;GO:0006427;GO:0032543	spo:2540472
KAJ8688827.1	P0DPB2	30.5	3.2e-52	Major facilitator-type transporter psiT2		GO:0016020;GO:0022857	
KAJ8688828.1	Q4PB04	94.2	1.8e-78	Histone H3.2		GO:0000776;GO:0005634;GO:0005654;GO:0007080;GO:0030527;GO:0031492;GO:0031507;GO:0043505;GO:0046982;GO:0051382	uma:UMAG_02709
KAJ8688829.1	Q84TH4	53.2	2.4e-20	Serine/arginine-rich splicing factor SR45a		GO:0000398;GO:0003729;GO:0005634;GO:0005681;GO:0008380;GO:0009507;GO:0009644;GO:0016607;GO:0043484	ath:AT1G07350
KAJ8688833.1	O13901	38.1	7.6e-80	Uncharacterized CDP-alcohol phosphatidyltransferase class-I family protein C22A12.10		GO:0004142;GO:0004307;GO:0005635;GO:0005783;GO:0005789;GO:0006646;GO:0006654;GO:0006656;GO:0101026	spo:2541829
KAJ8688834.1	B0XYC4	40.9	1.9e-86	Probable exopolygalacturonase C	3.2.1.67	GO:0004650;GO:0005576;GO:0045490;GO:0047911;GO:0071555	
KAJ8688835.1	P39992	36.0	7.7e-35	Uncharacterized protein YEL023C			sce:YEL023C
KAJ8688837.1	P36017	39.0	2.6e-17	Vacuolar protein sorting-associated protein 21		GO:0000011;GO:0003924;GO:0005525;GO:0005739;GO:0005741;GO:0005769;GO:0005770;GO:0005829;GO:0005886;GO:0006623;GO:0006895;GO:0006897;GO:0010008;GO:0012505;GO:0030139;GO:0032511;GO:0036010;GO:0036258;GO:0061709	sce:YOR089C
KAJ8688838.1	P87137	54.5	7.6e-19	Uncharacterized protein C57A7.06		GO:0005634;GO:0005730;GO:0030490;GO:0032040	spo:2542351
KAJ8688840.1	G3XMC9	50.8	4.4e-13	Efflux pump azaK		GO:0005886;GO:0022857	
KAJ8688841.1	O94168	40.5	6.3e-134	Carbon catabolite-derepressing protein kinase	2.7.11.1	GO:0000132;GO:0000144;GO:0001403;GO:0004679;GO:0005085;GO:0005524;GO:0005641;GO:0005774;GO:0006986;GO:0010920;GO:0016239;GO:0017148;GO:0031588;GO:0031965;GO:0032933;GO:0034976;GO:0042149;GO:0042802;GO:0045722;GO:0045944;GO:0061762;GO:0071940;GO:0090606;GO:0106310;GO:1900436;GO:1904262;GO:2000217;GO:2000222	
KAJ8688846.1	P25351	36.4	4.5e-34	Major facilitator superfamily domain-containing protein YCR023C		GO:0000329;GO:0005254;GO:0034707	sce:YCR023C
KAJ8688847.1	Q00808	41.8	3.4e-23	Vegetative incompatibility protein HET-E-1		GO:0005525;GO:0035097	
KAJ8688848.1	P87137	35.3	1.8e-80	Uncharacterized protein C57A7.06		GO:0005634;GO:0005730;GO:0030490;GO:0032040	spo:2542351
KAJ8688852.1	O60177	33.1	9.7e-11	ATP-dependent chromatin remodeler/E3 ubiquitin-protein ligase rrp2	2.3.2.27 {ECO:0000250|UniProtKB:Q14527};3.6.4.- {ECO:0000305|PubMed:28552615}	GO:0000724;GO:0000785;GO:0005524;GO:0005634;GO:0005737;GO:0006281;GO:0008094;GO:0008270;GO:0016887;GO:0032435;GO:0061630;GO:0061995	spo:2540464
KAJ8688861.1	O94336	32.1	2.9e-18	Uncharacterized FCP1 homology domain-containing protein C1271.03c		GO:0004721;GO:0005634;GO:0005730;GO:0005829;GO:0023052	spo:2541320
KAJ8688863.1	Q5K8R6	33.3	3.5e-76	Beta-1,2-xylosyltransferase 1	2.4.1.-	GO:0006688;GO:0016020;GO:0035252;GO:0045227	cne:CNL04750
KAJ8688882.1	O60177	30.0	3.2e-100	ATP-dependent chromatin remodeler/E3 ubiquitin-protein ligase rrp2	2.3.2.27 {ECO:0000250|UniProtKB:Q14527};3.6.4.- {ECO:0000305|PubMed:28552615}	GO:0000724;GO:0000785;GO:0005524;GO:0005634;GO:0005737;GO:0006281;GO:0008094;GO:0008270;GO:0016887;GO:0032435;GO:0061630;GO:0061995	spo:2540464
KAJ8688883.1	A2TBU1	39.8	9.6e-55	Agroclavine dehydrogenase	1.5.1.46 {ECO:0000250|UniProtKB:P0CT21}	GO:0016491;GO:0035835	
KAJ8688884.1	Q9P7N1	47.8	2.5e-37	EKC/KEOPS complex subunit SPAP27G11.07c	2.7.11.1 {ECO:0000250|UniProtKB:P53323};3.6.-.- {ECO:0000250|UniProtKB:Q9UYB9}	GO:0000408;GO:0000781;GO:0002949;GO:0004674;GO:0005524;GO:0005634;GO:0005829;GO:0006351;GO:0016887;GO:0070525;GO:0106310	spo:2541953
KAJ8688886.1	F1SY74	40.9	2.4e-131	Cytochrome P450 monooxygenase 75	1.-.-.- {ECO:0000269|PubMed:21938516}	GO:0004497;GO:0005506;GO:0016020;GO:0016705;GO:0020037	
KAJ8688887.1	F1SY74	42.3	3.3e-121	Cytochrome P450 monooxygenase 75	1.-.-.- {ECO:0000269|PubMed:21938516}	GO:0004497;GO:0005506;GO:0016020;GO:0016705;GO:0020037	
KAJ8688888.1	F1SY74	42.9	1.2e-86	Cytochrome P450 monooxygenase 75	1.-.-.- {ECO:0000269|PubMed:21938516}	GO:0004497;GO:0005506;GO:0016020;GO:0016705;GO:0020037	
KAJ8688889.1	O74423	64.8	4.0e-37	Epsin-1		GO:0005543;GO:0005546;GO:0005768;GO:0005886;GO:0006897;GO:0007015;GO:0030036;GO:0030125;GO:0030276;GO:0030479;GO:0180020	
KAJ8688890.1	J9VTB0	44.2	0.0e+00	Calcium-channel protein CCH1		GO:0005886;GO:0005891;GO:0008331;GO:0098703	cng:CNAG_01208
KAJ8688892.1	A8NS27	56.6	0.0e+00	Adenylate-forming reductase 03009	1.2.1.- {ECO:0000269|PubMed:27457378}	GO:0005524;GO:0016491	cci:CC1G_03009
KAJ8688894.1	A0A0U5GQ05	37.1	9.7e-45	FAD-dependent monooxygenase drtC	1.-.-.- {ECO:0000269|PubMed:34468074}	GO:0016114;GO:0016491;GO:0071949	
KAJ8688895.1	A0A2H3CZX2	49.8	1.8e-187	Cytochrome P450 monooxygenase ARMGADRAFT_1018420	1.-.-.-	GO:0004497;GO:0005506;GO:0016020;GO:0016705;GO:0020037	
KAJ8688896.1	A0A2H3CZX2	50.0	2.6e-176	Cytochrome P450 monooxygenase ARMGADRAFT_1018420	1.-.-.-	GO:0004497;GO:0005506;GO:0016020;GO:0016705;GO:0020037	
KAJ8688897.1	A0A0U5GQ05	32.8	2.3e-75	FAD-dependent monooxygenase drtC	1.-.-.- {ECO:0000269|PubMed:34468074}	GO:0016114;GO:0016491;GO:0071949	
KAJ8688899.1	O74628	37.5	5.1e-51	Uncharacterized oxidoreductase C162.03	1.-.-.-	GO:0005829;GO:0016491	spo:2539382
KAJ8688900.1	O74628	37.5	5.1e-51	Uncharacterized oxidoreductase C162.03	1.-.-.-	GO:0005829;GO:0016491	spo:2539382
KAJ8688901.1	M2T7Z1	32.7	2.0e-73	FAD-dependent monooxygenase tpcD	1.-.-.- {ECO:0000269|PubMed:29417814}	GO:0016114;GO:0016491;GO:0071949	
KAJ8688902.1	A8NS27	48.7	6.6e-313	Adenylate-forming reductase 03009	1.2.1.- {ECO:0000269|PubMed:27457378}	GO:0005524;GO:0016491	cci:CC1G_03009
KAJ8688903.1	P0C8Q0	36.1	1.8e-46	UBX domain-containing protein 1		GO:0000045;GO:0005634;GO:0005829;GO:0007030;GO:0031468;GO:0043130;GO:0043161;GO:0061025	ani:ANIA_11055
KAJ8688904.1	Q4P358	52.4	5.5e-243	Eukaryotic translation initiation factor 3 subunit A		GO:0001732;GO:0002188;GO:0003729;GO:0003743;GO:0010494;GO:0016282;GO:0033290;GO:0043614;GO:0071540;GO:0071541	uma:UMAG_11577
KAJ8688905.1	A0A2I1BSW0	30.8	1.4e-32	Asnovolin J 5',6'-dehydrogenase nvfM	1.3.99.- {ECO:0000269|PubMed:29968715}	GO:0016020;GO:0016491;GO:0140782	
KAJ8688907.1	Q00646	67.1	2.8e-133	Cyclin-dependent kinase 1	2.7.11.22 {ECO:0000250|UniProtKB:P04551}	GO:0000086;GO:0000307;GO:0004693;GO:0005524;GO:0005634;GO:0005737;GO:0005816;GO:0007165;GO:0051301;GO:0106310;GO:1901992	ani:ANIA_04182
KAJ8688911.1	A0A2I1BSW0	31.0	2.7e-29	Asnovolin J 5',6'-dehydrogenase nvfM	1.3.99.- {ECO:0000269|PubMed:29968715}	GO:0016020;GO:0016491;GO:0140782	
KAJ8688913.1	A0A2I1BSW0	34.2	8.6e-36	Asnovolin J 5',6'-dehydrogenase nvfM	1.3.99.- {ECO:0000269|PubMed:29968715}	GO:0016020;GO:0016491;GO:0140782	
KAJ8688914.1	A0A2I1BSW0	31.9	2.6e-31	Asnovolin J 5',6'-dehydrogenase nvfM	1.3.99.- {ECO:0000269|PubMed:29968715}	GO:0016020;GO:0016491;GO:0140782	
KAJ8688919.1	A0A2H3D8Y2	46.2	1.1e-54	Short-chain dehydrogenase/reductase ARMGADRAFT_1018421	1.1.1.-	GO:0006633;GO:0016616;GO:0048038	
KAJ8688920.1	A0A2H3D8Y2	47.9	9.8e-69	Short-chain dehydrogenase/reductase ARMGADRAFT_1018421	1.1.1.-	GO:0006633;GO:0016616;GO:0048038	
KAJ8688921.1	A0A2H3D8Y2	46.3	7.0e-43	Short-chain dehydrogenase/reductase ARMGADRAFT_1018421	1.1.1.-	GO:0006633;GO:0016616;GO:0048038	
KAJ8688922.1	A0A2H3D8Y2	46.3	1.1e-42	Short-chain dehydrogenase/reductase ARMGADRAFT_1018421	1.1.1.-	GO:0006633;GO:0016616;GO:0048038	
KAJ8688923.1	O74969	40.9	6.7e-137	High-affinity glucose transporter ght2		GO:0005351;GO:0005354;GO:0005886;GO:0008643;GO:0098708;GO:0140425	spo:2539977
KAJ8688924.1	A0A2I1BSW0	30.1	3.7e-27	Asnovolin J 5',6'-dehydrogenase nvfM	1.3.99.- {ECO:0000269|PubMed:29968715}	GO:0016020;GO:0016491;GO:0140782	
KAJ8688927.1	O94505	48.4	4.5e-105	3'(2'),5'-bisphosphate nucleotidase	3.1.3.57 {ECO:0000269|PubMed:10850973};3.1.3.7 {ECO:0000269|PubMed:10850973}	GO:0000103;GO:0000166;GO:0004441;GO:0005634;GO:0005829;GO:0008441;GO:0046854;GO:0046872;GO:0052829;GO:0180037	spo:2538954
KAJ8688929.1	P40977	32.9	2.4e-56	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase 1	3.1.4.11	GO:0004435;GO:0005509;GO:0005634;GO:0005737;GO:0005829;GO:0016042;GO:0032958;GO:0048015	spo:2541439
KAJ8688930.1	P40977	33.2	3.2e-56	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase 1	3.1.4.11	GO:0004435;GO:0005509;GO:0005634;GO:0005737;GO:0005829;GO:0016042;GO:0032958;GO:0048015	spo:2541439
KAJ8688932.1	D4AUF1	52.8	0.0e+00	WSC domain-containing protein ARB_07867		GO:0005576	abe:ARB_07867
KAJ8688933.1	J9N5P9	44.9	9.1e-34	Global transcription regulator sge1		GO:0003677;GO:0005634;GO:0006351	fox:FOXG_10510
KAJ8688936.1	Q8N0N3	37.0	8.8e-67	Beta-1,3-glucan-binding protein		GO:0001872;GO:0004553;GO:0005576;GO:0005975;GO:0045087	
KAJ8688937.1	Q21086	42.3	3.1e-59	Guanine nucleotide-binding protein-like 3 homolog		GO:0002119;GO:0005525;GO:0005634;GO:0005654;GO:0005730;GO:0007281;GO:0040014;GO:0042127	cel:CELE_K01C8.9
KAJ8688938.1	B0DSK4	74.2	5.1e-22	Elongation factor G, mitochondrial		GO:0003746;GO:0003924;GO:0005525;GO:0005739;GO:0070125	lbc:LACBIDRAFT_295443
KAJ8688939.1	B0DSK4	84.4	6.8e-149	Elongation factor G, mitochondrial		GO:0003746;GO:0003924;GO:0005525;GO:0005739;GO:0070125	lbc:LACBIDRAFT_295443
KAJ8688940.1	B0DSK4	80.1	5.8e-201	Elongation factor G, mitochondrial		GO:0003746;GO:0003924;GO:0005525;GO:0005739;GO:0070125	lbc:LACBIDRAFT_295443
KAJ8688941.1	A0A2H3D8Y2	44.7	1.9e-67	Short-chain dehydrogenase/reductase ARMGADRAFT_1018421	1.1.1.-	GO:0006633;GO:0016616;GO:0048038	
KAJ8688945.1	J9VND2	44.0	1.3e-92	Chitin deacetylase 2	3.5.1.41 {ECO:0000305|PubMed:17400891, ECO:0000305|PubMed:22354955}	GO:0000272;GO:0004099;GO:0005576;GO:0005886;GO:0006032;GO:0008061;GO:0009272;GO:0009277;GO:0046872;GO:0071555;GO:0098552	cng:CNAG_01230
KAJ8688952.1	Q2TXF9	31.5	4.5e-27	Lactonohydrolase oryL	3.1.1.- {ECO:0000305|PubMed:30104550}	GO:0016787	
KAJ8688953.1	Q2TXF4	35.5	1.6e-17	Lactonohydrolase oryH	3.1.1.- {ECO:0000305|PubMed:30104550}	GO:0016787	
KAJ8688956.1	O42939	33.9	3.2e-16	Ubiquitin-activating enzyme E1-like		GO:0005524;GO:0005634;GO:0005737;GO:0016887;GO:0016925;GO:0019948;GO:0031510;GO:0046872;GO:0061656	spo:2539967
KAJ8688957.1	O42939	55.9	4.6e-99	Ubiquitin-activating enzyme E1-like		GO:0005524;GO:0005634;GO:0005737;GO:0016887;GO:0016925;GO:0019948;GO:0031510;GO:0046872;GO:0061656	spo:2539967
KAJ8688958.1	O74918	43.1	2.2e-77	Exosome complex component rrp45		GO:0000175;GO:0000176;GO:0000177;GO:0000178;GO:0000467;GO:0005634;GO:0005730;GO:0005829;GO:0006396;GO:0016075;GO:0034473;GO:0034475;GO:0034476;GO:0035925;GO:0070478;GO:0070481;GO:0070651;GO:0071028;GO:0071035;GO:0071038;GO:0071042	
KAJ8688959.1	Q9NL98	67.4	4.9e-91	Peroxiredoxin	1.11.1.24 {ECO:0000250|UniProtKB:Q06830}	GO:0004601;GO:0005829;GO:0006979;GO:0008379;GO:0016209;GO:0019430;GO:0042744;GO:0045454	
KAJ8688961.1	Q00614	40.5	2.2e-135	Carnitine O-acetyltransferase, mitochondrial	2.3.1.7	GO:0004092;GO:0005743;GO:0005777;GO:0006631;GO:0009437	
KAJ8688964.1	O42653	37.0	3.3e-107	ABC1 family protein C10F6.14c		GO:0005739;GO:0016301	spo:2541671
