gene,tau,top_tissue,mean_Exuding mycelium,mean_Exudophore,mean_Fuzzy mycelium,mean_Nodule
PTI98_002623,0.1406682828471125,Fuzzy mycelium,59.899,81.526,86.16,80.696
PTI98_002627,0.730446961470042,Fuzzy mycelium,3.149,9.164,16.894,1.348
PTI98_002629,0.44642615693327903,Exuding mycelium,24.206,10.738,8.315,21.146
PTI98_002647,0.29181532731142396,Exuding mycelium,27.236,24.079,19.115,14.67
PTI98_002652,0.2481078125413686,Exudophore,13.094,16.577,16.536,7.762
PTI98_002654,0.2931859354784185,Nodule,8.109,5.001,11.091,11.413
PTI98_002655,0.6689889631908216,Exudophore,13.906,44.083,13.703,16.167
PTI98_002669,0.3646494619449176,Exuding mycelium,15.526,9.583,6.671,13.339
PTI98_002678,0.47606104289080314,Exuding mycelium,58.065,28.483,46.343,16.443
PTI98_002681,0.35220658702334545,Exudophore,18.65,20.664,13.054,8.454
PTI98_002693,0.2998585735033867,Exuding mycelium,23.329,13.252,15.771,19.978
PTI98_002696,0.33356650162123497,Exuding mycelium,19.568,9.824,18.396,10.903
PTI98_002703,0.42809076027297416,Nodule,47.394,29.561,53.285,75.91
PTI98_002708,0.22820108442052126,Fuzzy mycelium,9.775,12.16,13.399,9.089
PTI98_002712,0.40763819584522265,Nodule,17.891,15.676,15.754,27.755
PTI98_002730,0.6255385615709307,Fuzzy mycelium,6.809,12.592,17.858,0.66
PTI98_002744,0.42783016456629025,Nodule,18.212,17.504,13.891,28.9
PTI98_002745,0.29653591686951625,Exuding mycelium,79.02,40.491,47.535,78.738
PTI98_002756,0.4823609990046827,Nodule,28.317,27.087,9.931,42.073
PTI98_002762,0.45984105642442685,Nodule,18.711,12.325,9.644,25.103
PTI98_002763,0.4041232735890101,Exuding mycelium,15.24,6.499,9.005,11.739
PTI98_002767,0.494956153736047,Exuding mycelium,31.162,10.167,21.242,15.805
PTI98_002768,0.5110582340151771,Exudophore,8.493,15.587,7.725,6.646
PTI98_002804,0.2537743555973008,Nodule,106.437,86.821,86.078,124.777
PTI98_002807,0.31969739590819063,Nodule,13.525,13.987,15.239,20.947
PTI98_002809,0.24002520094601812,Fuzzy mycelium,18.704,17.415,21.53,12.968
PTI98_002810,0.2766568090527493,Exudophore,7.264,12.655,12.555,7.641
PTI98_002832,0.3721502163000934,Exuding mycelium,13.808,6.499,6.119,13.39
PTI98_002850,0.7117269411109565,Nodule,8.689,0.0,3.393,13.97
PTI98_002852,0.4715085454954025,Exudophore,55.095,117.22,64.629,66.126
PTI98_002854,0.7994322449203494,Exuding mycelium,32.922,5.75,13.057,1.003
PTI98_002857,0.1393492780535368,Fuzzy mycelium,31.426,32.24,35.355,27.62
PTI98_002867,0.20715624577216193,Exuding mycelium,21.748,20.843,19.435,11.45
PTI98_002869,0.6136127499003478,Fuzzy mycelium,23.97,11.335,50.897,23.692
PTI98_002886,0.45404670341036973,Fuzzy mycelium,29.464,23.063,39.897,12.819
PTI98_002887,0.39861386790398634,Exuding mycelium,15.569,7.248,12.766,8.076
PTI98_002893,0.0692940391215852,Exuding mycelium,47.316,43.397,41.936,46.778
PTI98_002899,0.5259636696947853,Fuzzy mycelium,9.959,14.076,19.434,3.602
PTI98_002900,0.32191936996244447,Fuzzy mycelium,10.311,7.248,12.699,8.275
PTI98_002905,0.27174136575086716,Nodule,12.192,5.496,11.686,13.445
PTI98_002906,0.8298028662292517,Nodule,8.088,1.752,7.843,34.632
PTI98_002907,0.3747337444644468,Fuzzy mycelium,43.681,20.486,49.318,28.343
PTI98_002930,0.6708231767697447,Exudophore,9.688,25.817,8.142,7.665
PTI98_002938,0.3915419138355798,Exuding mycelium,13.898,5.331,10.099,9.94
PTI98_002955,0.38433231060375067,Exudophore,7.441,15.244,12.36,8.355
PTI98_002958,0.39344990538184876,Exudophore,13.435,18.583,5.215,15.164
PTI98_002960,0.3405991569364197,Exudophore,10.056,17.669,9.306,15.591
PTI98_002980,0.13641595595186218,Exuding mycelium,45.007,44.235,35.812,36.556
PTI98_002982,0.29138605069103346,Exuding mycelium,25.602,13.911,20.582,19.932
PTI98_002984,0.25082144776394016,Exuding mycelium,16.372,7.083,14.703,15.01
PTI98_002987,0.5484808438487165,Fuzzy mycelium,5.041,9.494,14.557,5.182
PTI98_003000,0.30519525969475975,Exudophore,11.76,18.837,14.698,12.805
PTI98_003009,0.35546832619268676,Exudophore,48.373,72.16,27.589,63.567
PTI98_003030,0.44074078781400505,Fuzzy mycelium,8.884,7.248,15.519,9.906
PTI98_003031,0.8253794927203391,Exuding mycelium,41.226,2.082,19.264,0.252
PTI98_003033,0.3224393070293315,Nodule,52.986,35.414,28.584,57.552
PTI98_003034,0.29413144307908967,Fuzzy mycelium,12.091,5.331,14.324,12.91
PTI98_003037,0.13939826500323757,Exudophore,108.989,120.674,89.139,113.43
PTI98_003051,0.2735222583382853,Nodule,29.808,20.74,24.143,34.271
PTI98_003064,0.5244172289451882,Exudophore,11.925,19.826,8.085,8.278
PTI98_003071,0.6500048857422945,Exuding mycelium,18.208,0.584,1.731,16.803
PTI98_003091,0.3148636368835167,Fuzzy mycelium,32.715,23.646,35.75,17.118
PTI98_003092,0.3825857532709176,Exuding mycelium,25.423,20.156,19.473,7.461
PTI98_003093,0.5034522806646903,Exuding mycelium,47.931,12.668,29.314,29.418
PTI98_003095,0.44194335003838425,Exudophore,72.026,105.377,77.118,27.275
PTI98_003104,0.5709904329283221,Exuding mycelium,19.136,4.328,12.449,7.851
PTI98_003111,0.38364673988633236,Nodule,54.904,68.211,52.593,95.025
PTI98_003122,0.13524667949085714,Exudophore,36.377,36.671,31.337,27.42
PTI98_003133,0.4451158070044972,Exuding mycelium,25.043,11.411,7.667,22.609
PTI98_003147,0.4108560370092021,Exuding mycelium,19.501,3.833,16.667,13.966
PTI98_003149,0.11421462699510943,Nodule,13.531,11.005,13.061,14.148
PTI98_003151,0.4184860921525117,Exuding mycelium,24.354,14.495,21.376,6.616
PTI98_003157,0.15497211673480626,Nodule,11.437,11.081,14.106,14.447
PTI98_003162,0.4915143052200146,Nodule,17.575,7.742,16.112,27.159
PTI98_003163,0.6562342758827121,Fuzzy mycelium,6.563,6.918,15.731,2.743
PTI98_003180,0.36559977105513153,Exudophore,12.004,19.751,11.134,14.452
PTI98_003188,0.36132442436947904,Nodule,8.08,10.992,12.208,16.325
PTI98_003194,0.38211990985162353,Nodule,40.985,25.83,48.284,62.094
PTI98_003202,0.4272002166375614,Nodule,9.837,17.745,3.742,18.228
PTI98_003207,0.3099098613744062,Fuzzy mycelium,60.306,31.745,64.114,40.683
PTI98_003211,0.5193358368531699,Exudophore,24.121,52.891,38.103,14.045
PTI98_003218,0.30595561977695623,Fuzzy mycelium,36.482,51.001,52.803,22.459
PTI98_003224,0.5928540645551504,Exudophore,10.988,23.089,11.352,5.862
PTI98_003230,0.4464152884166954,Nodule,7.412,13.987,8.05,17.733
PTI98_003242,0.39458379275102295,Exuding mycelium,14.791,10.751,9.494,6.619
PTI98_003243,0.29596455978050035,Exudophore,284.761,358.231,285.677,186.183
PTI98_003252,0.5337918399319631,Exuding mycelium,12.94,3.998,2.074,12.026
PTI98_003263,0.3693456287990872,Exudophore,53.239,87.659,41.103,71.505
PTI98_003269,0.4946485811477111,Nodule,7.912,13.417,10.699,21.126
PTI98_003276,0.9059756882159667,Nodule,102.061,57.46,50.539,744.702
PTI98_003277,0.2211214472040756,Nodule,19.556,10.243,18.33,20.598
PTI98_003280,0.8218334270848832,Nodule,6.132,3.998,3.875,26.203
PTI98_003282,0.22563933975520992,Exudophore,9.613,14.749,10.495,14.156
PTI98_003294,0.14787246447768973,Nodule,20.977,18.405,15.078,21.303
PTI98_003297,0.4267103260098075,Exuding mycelium,20.221,10.408,11.514,12.855
PTI98_003299,0.361433721365983,Exuding mycelium,46.911,27.912,43.537,18.419
PTI98_003304,0.1685043147442078,Nodule,395.128,346.147,342.028,434.279
PTI98_003311,0.3604166802586762,Exuding mycelium,51.025,26.325,44.656,26.923
PTI98_003312,0.5972429655797372,Exudophore,4.213,15.409,8.191,6.214
PTI98_003313,0.7078638671924401,Nodule,25.008,12.16,11.585,55.628
PTI98_003314,0.5568937122231089,Nodule,65.495,43.892,57.359,125.437
PTI98_003315,0.1587138914247743,Nodule,34.66,42.407,44.572,48.196
PTI98_003327,0.8589748295212324,Nodule,85.159,29.486,46.551,381.008
PTI98_003329,0.2815384016665842,Nodule,53.716,31.313,37.723,56.952
PTI98_003337,0.48215211533837615,Nodule,111.089,88.407,100.747,193.263
PTI98_003342,0.11470099826774349,Exuding mycelium,59.023,51.572,48.301,56.887
PTI98_003349,0.2619026727173271,Nodule,13.376,11.665,14.432,17.826
PTI98_003351,0.3308691794052862,Fuzzy mycelium,15.105,6.245,17.288,13.353
PTI98_003352,0.28855612811423303,Nodule,15.38,13.074,16.972,21.283
PTI98_003356,0.3928605014820737,Nodule,8.728,14.914,6.144,16.354
PTI98_003363,0.3100889000865679,Exudophore,9.301,17.174,9.366,16.879
PTI98_003366,0.205705225520288,Fuzzy mycelium,65.296,43.803,68.622,54.419
PTI98_003367,0.15995142774408258,Fuzzy mycelium,14.309,15.917,17.863,14.791
PTI98_003376,0.26249800716129773,Nodule,13.92,8.416,11.101,15.112
PTI98_003377,0.6283800034506224,Nodule,10.749,6.08,7.296,21.639
PTI98_003383,0.32373195144407046,Nodule,10.04,4.163,10.865,12.356
PTI98_003384,0.5079023988027372,Nodule,12.96,2.83,4.906,14.019
PTI98_003389,0.38825854976890334,Nodule,34.028,32.481,45.682,61.132
PTI98_003392,0.6411251617197399,Nodule,9.256,6.664,9.503,23.614
PTI98_003395,0.3825555494856707,Nodule,17.454,13.836,15.062,25.023
PTI98_003397,0.22649882681073882,Exudophore,10.018,15.993,13.244,13.851
PTI98_003406,0.505049299536002,Nodule,33.143,27.912,60.022,81.542
PTI98_003411,0.5913643066499609,Nodule,25.702,16.488,32.413,60.855
PTI98_003413,0.488351679741826,Fuzzy mycelium,36.026,40.58,64.079,21.751
PTI98_003424,0.21267154424234477,Nodule,69.535,46.303,65.522,76.783
PTI98_003426,0.3908537889415638,Nodule,17.536,12.668,10.72,22.394
PTI98_003427,0.46319698812205284,Nodule,31.478,18.659,25.889,47.209
PTI98_003430,0.6071539232989889,Nodule,19.047,11.995,11.536,36.128
PTI98_003431,0.37133285029294755,Nodule,26.513,13.492,12.532,27.857
PTI98_003441,0.42064658194538934,Nodule,9.015,12.984,6.018,16.12
PTI98_003448,0.7180847817684576,Exudophore,5.849,31.326,13.75,6.895
PTI98_003450,0.3685583145866011,Nodule,20.07,6.994,11.403,20.306
PTI98_003461,0.3626104170157136,Nodule,16.035,11.741,20.797,25.402
PTI98_003470,0.3800677435408291,Exuding mycelium,63.031,18.569,43.112,55.543
PTI98_003476,0.40868443902518475,Fuzzy mycelium,35.513,17.491,46.343,29.207
PTI98_003500,0.3007121873373232,Exuding mycelium,18.004,7.997,12.195,17.578
PTI98_003524,0.31729323620663086,Exuding mycelium,41.024,13.163,29.944,40.915
PTI98_003526,0.32701616862137295,Exudophore,12.52,17.25,8.009,14.298
PTI98_003545,0.6259648283079927,Fuzzy mycelium,20.155,17.491,37.128,4.016
PTI98_003550,0.2700384888558652,Nodule,14.825,9.253,12.767,16.825
PTI98_003579,0.5018454004738585,Fuzzy mycelium,15.705,12.833,23.23,6.179
PTI98_003582,0.45212993523085904,Nodule,12.525,12.744,11.162,22.165
PTI98_003608,0.34313356239638115,Exudophore,9.98,14.839,9.643,9.617
PTI98_003609,0.1866866424718803,Nodule,11.755,17.415,15.122,18.153
PTI98_003617,0.17470111039047756,Exuding mycelium,14.4,10.408,11.836,13.409
PTI98_003618,0.37550935833888155,Exudophore,11.731,19.256,10.763,13.581
PTI98_003620,0.48078423682311927,Exudophore,12.245,22.505,7.034,15.776
PTI98_003621,0.5823525347987488,Nodule,12.674,11.576,13.692,30.283
PTI98_003625,0.33877269470222054,Nodule,57.244,49.758,29.782,68.954
PTI98_003634,0.8273427742221373,Nodule,82.757,29.753,27.143,269.615
PTI98_003635,0.6784673406232198,Nodule,12.259,6.004,8.415,27.657
PTI98_003637,0.7777759681683464,Fuzzy mycelium,5.521,1.333,13.362,2.054
PTI98_003699,0.2609644154065184,Exuding mycelium,206.237,151.934,149.161,156.155
PTI98_003716,0.43927412421880385,Nodule,74.649,71.817,38.64,110.039
PTI98_003734,0.2156836979317904,Nodule,14.483,10.078,15.099,16.855
PTI98_003742,0.47422558523383546,Nodule,28.399,26.503,17.5,45.902
PTI98_003749,0.8572536454978504,Nodule,42.825,3.084,14.381,140.786
PTI98_003802,0.5932407380324182,Exudophore,51.417,153.066,55.139,80.227
PTI98_003811,0.20448527879964604,Exudophore,66.986,78.86,78.229,42.988
PTI98_003816,0.6827907855213938,Exudophore,5.03,19.497,7.82,5.704
PTI98_003822,0.7252310638114262,Exudophore,9.237,46.94,13.432,16.024
PTI98_003859,0.3246655614222523,Exudophore,28.62,51.737,45.117,31.082
PTI98_003860,0.5584511618459819,Nodule,23.521,57.513,13.504,71.369
PTI98_003875,0.47407174967579874,Nodule,16.55,8.58,12.888,24.096
PTI98_003882,0.8346377080891113,Nodule,10.881,4.912,10.883,53.774
PTI98_003884,0.37582215288038223,Nodule,34.676,25.741,13.26,39.347
PTI98_003899,0.35237417976424856,Nodule,18.158,6.664,13.806,19.882
PTI98_003911,0.4040776038326965,Exuding mycelium,18.689,7.248,13.165,12.999
PTI98_003912,0.502330577934413,Fuzzy mycelium,18.381,10.586,25.147,8.578
PTI98_003914,0.4329843458372975,Exuding mycelium,17.265,10.408,13.754,5.207
PTI98_003923,0.18989932849328106,Nodule,15.388,19.407,18.154,21.787
PTI98_003932,0.5846177003669305,Nodule,8.209,3.579,8.338,16.151
PTI98_003959,0.5611369443386803,Exudophore,70.949,161.406,53.634,87.921
PTI98_003961,0.20593210989032806,Nodule,41.745,29.156,40.771,46.878
PTI98_003965,0.2708405185535631,Nodule,67.606,85.056,49.54,92.436
PTI98_003972,0.6579652241119708,Exudophore,8.987,28.166,11.32,8.594
PTI98_003974,0.22833315274773347,Exudophore,10.889,12.338,8.422,9.251
PTI98_003980,0.6456937094209544,Exuding mycelium,15.778,5.42,11.054,0.297
PTI98_003981,0.7327623238314384,Fuzzy mycelium,6.36,5.75,17.687,2.071
PTI98_003982,0.6212062311815659,Exudophore,6.087,19.889,1.779,14.735
PTI98_003984,0.8250686335870229,Fuzzy mycelium,21.552,1.168,51.433,4.272
PTI98_003992,0.9178891527996383,Fuzzy mycelium,5.237,0.584,26.877,0.8
PTI98_003995,0.3849763773499329,Exuding mycelium,17.718,4.912,10.713,17.065
PTI98_003999,0.45558192837359507,Nodule,21.569,7.997,15.699,27.714
PTI98_004006,0.8348666179118579,Fuzzy mycelium,3.309,1.168,11.015,0.98
PTI98_004022,0.6235097004354067,Exudophore,6.887,24.065,2.221,18.073
PTI98_004030,0.3499828509519278,Fuzzy mycelium,26.54,21.578,33.724,17.646
PTI98_004076,0.30069335405518066,Fuzzy mycelium,7.797,16.831,18.242,13.642
PTI98_004077,0.6858162059992662,Fuzzy mycelium,127.301,12.819,152.919,4.013
PTI98_004083,0.7977721983307525,Exudophore,9.6,50.417,20.873,0.114
PTI98_004095,0.5345775568094607,Exuding mycelium,10.042,4.582,6.569,2.871
PTI98_004096,0.5412366360471217,Fuzzy mycelium,21.368,7.413,26.056,7.08
PTI98_000011,0.17667624235948565,Exudophore,24.31,24.738,20.451,16.342
PTI98_000081,0.6496292046603566,Nodule,12.093,2.92,9.537,23.356
PTI98_000082,0.3444679274311658,Nodule,17.164,23.838,8.669,25.258
PTI98_000100,0.48272760498243455,Exuding mycelium,34.351,13.238,34.033,6.035
PTI98_000101,0.5031590868890329,Exuding mycelium,24.924,12.084,10.95,14.116
PTI98_000110,0.2938848197802948,Nodule,15.501,19.661,25.235,28.511
PTI98_000115,0.7515852242297254,Nodule,2.568,9.57,1.171,17.858
PTI98_000142,0.590254000571408,Exudophore,17.214,35.744,19.879,6.845
PTI98_000151,0.26669537934250037,Exudophore,114.174,163.929,144.138,102.318
PTI98_000183,0.6902018479872855,Fuzzy mycelium,1.816,20.843,25.092,0.662
PTI98_000185,0.7154882809496929,Exudophore,0.935,26.847,21.98,0.0
PTI98_000189,0.48554135527190884,Nodule,17.617,7.578,24.572,32.245
PTI98_000195,0.42495404516632407,Fuzzy mycelium,12.384,12.49,17.95,6.093
PTI98_000197,0.4450999162027151,Fuzzy mycelium,6.598,8.999,14.59,8.69
PTI98_000202,0.4522986875413362,Exuding mycelium,14.497,7.997,11.118,4.705
PTI98_000206,0.2927550859695488,Exuding mycelium,119.865,105.417,99.541,49.365
PTI98_000217,0.18072577742703685,Exudophore,25.13,32.837,25.563,30.016
PTI98_000233,0.20089477593989982,Exuding mycelium,10.336,8.505,6.11,10.165
PTI98_000235,0.5651094426402933,Nodule,33.647,12.909,16.631,48.431
PTI98_000288,0.24588420342445716,Fuzzy mycelium,8.246,11.322,14.905,14.152
PTI98_000342,0.6184854588978046,Exudophore,18.22,35.592,9.256,13.261
PTI98_000356,0.3801253218531664,Exudophore,10.377,13.328,10.117,4.29
PTI98_000359,0.5875259962729646,Exudophore,16.919,65.711,43.8,20.593
PTI98_000380,0.3546284252240622,Fuzzy mycelium,8.244,6.334,9.712,4.225
PTI98_000382,0.7616379219490158,Nodule,8.12,2.501,11.491,30.921
PTI98_000392,0.7272386381854123,Nodule,8.93,3.579,0.322,15.681
PTI98_000396,0.4425593414269453,Exuding mycelium,42.268,24.663,24.36,21.663
PTI98_000397,0.7476496955398256,Exudophore,3.576,18.329,10.071,0.229
PTI98_000399,0.8049769155004446,Exudophore,9.016,48.336,15.384,3.88
PTI98_000400,0.7215544404727806,Nodule,10.865,12.909,15.084,46.518
PTI98_000430,0.46208352251144413,Exudophore,3.289,14.825,9.3,11.335
PTI98_000432,0.949308414166345,Nodule,17.226,2.082,2.789,145.298
PTI98_000435,0.14544708956396254,Exudophore,23.533,29.321,23.138,28.497
PTI98_000438,0.5544348697198197,Nodule,12.158,7.742,6.018,19.39
PTI98_000439,0.8138072012556834,Nodule,5.439,9.989,4.528,35.726
PTI98_000442,0.5008819998813269,Fuzzy mycelium,55.208,82.278,97.791,8.942
PTI98_000443,0.667824188305736,Fuzzy mycelium,5.257,11.919,19.919,2.674
PTI98_000444,0.6366530833052644,Fuzzy mycelium,15.241,5.001,20.58,2.19
PTI98_000450,0.4514009698839588,Exudophore,11.31,20.424,10.264,12.038
PTI98_000468,0.9404609014022554,Nodule,159.726,0.584,0.238,898.841
PTI98_000470,0.6575028340281007,Nodule,30.467,20.575,11.329,60.702
PTI98_000473,0.5639914157012714,Fuzzy mycelium,9.809,2.92,13.761,5.272
PTI98_000474,0.272931018902787,Nodule,38.71,26.084,22.249,39.906
PTI98_000481,0.3300877374195903,Fuzzy mycelium,16.618,33.154,37.314,25.219
PTI98_000488,0.8715169442927282,Exuding mycelium,33.517,4.747,5.867,2.305
PTI98_000489,0.5239667746413078,Exudophore,13.871,27.328,10.714,14.442
PTI98_000511,0.28237074707181675,Exuding mycelium,68.201,49.414,36.706,60.709
PTI98_000512,0.24277533096988746,Exudophore,104.707,131.488,66.583,127.407
PTI98_000513,0.9591355160668744,Nodule,16.151,7.578,1.493,205.73
PTI98_000519,0.6690620150638891,Fuzzy mycelium,8.703,2.336,13.259,2.125
PTI98_000531,0.587814634603893,Exudophore,8.577,25.933,21.828,1.662
PTI98_000546,0.8915932475140647,Nodule,23.378,11.157,6.194,125.233
PTI98_000547,0.6226794943633932,Exuding mycelium,202.842,0.0,45.784,183.825
PTI98_000549,0.24224675591566325,Nodule,13.926,15.32,13.395,18.758
PTI98_000558,0.7625438188789962,Nodule,20.808,3.579,9.986,48.252
PTI98_000560,0.44410889856457625,Fuzzy mycelium,19.369,7.832,28.625,20.536
PTI98_000561,0.25613438873398003,Exuding mycelium,22.757,8.834,22.351,19.598
PTI98_000564,0.2956086607662063,Nodule,71.691,54.416,40.443,78.815
PTI98_000565,0.5150224372431889,Fuzzy mycelium,15.665,17.161,27.327,6.933
PTI98_000571,0.953857019801577,Exudophore,5.125,88.625,4.975,2.168
PTI98_000572,0.44304610397801897,Nodule,15.431,7.248,12.163,20.853
PTI98_000573,0.19653551728013688,Nodule,14.14,12.325,10.546,15.354
PTI98_000575,0.6438698149630432,Nodule,10.081,16.399,7.063,31.396
PTI98_000578,0.4996332154854734,Fuzzy mycelium,11.047,6.334,13.785,3.311
PTI98_000582,0.4087283904222507,Exuding mycelium,33.639,15.663,30.827,13.179
PTI98_000583,0.4497013091243735,Exudophore,9.978,13.252,8.017,3.882
PTI98_000586,0.38833380714514226,Nodule,62.685,34.83,32.866,71.053
PTI98_000595,0.2849612025076372,Exuding mycelium,28.446,26.668,15.726,18.626
PTI98_000597,0.40520453168435805,Fuzzy mycelium,16.972,42.724,42.758,16.601
PTI98_000602,0.6194513777809654,Exudophore,24.52,53.515,20.646,15.929
PTI98_000608,0.28355702646972913,Exudophore,25.099,25.576,16.947,12.927
PTI98_000639,0.7493807922494419,Exudophore,9.556,27.15,7.19,3.667
PTI98_000659,0.459424680160994,Exudophore,28.355,42.091,20.72,19.185
PTI98_000662,0.8250062249283273,Nodule,12.413,0.749,3.63,31.986
PTI98_000669,0.5783621958525365,Fuzzy mycelium,29.583,7.502,37.437,10.27
PTI98_000703,0.3608245281463029,Exudophore,11.257,14.001,11.008,4.582
PTI98_000705,0.7240595082907918,Fuzzy mycelium,12.308,10.573,58.593,25.624
PTI98_000708,0.4197327502350629,Nodule,13.654,7.832,15.248,21.101
PTI98_000714,0.30515224769173255,Nodule,36.688,38.396,53.777,61.817
PTI98_000720,0.17420583426061154,Exuding mycelium,15.593,13.238,12.817,12.576
PTI98_000728,0.5237842677620385,Fuzzy mycelium,16.606,5.661,24.43,12.636
PTI98_000738,0.20142985399003024,Nodule,28.156,28.572,27.679,35.233
PTI98_000746,0.5395227534751966,Exuding mycelium,24.759,9.913,18.317,5.973
PTI98_000747,0.2668866141878688,Fuzzy mycelium,89.58,95.272,111.851,61.147
PTI98_000751,0.5610667676830462,Exuding mycelium,17.083,1.917,9.706,10.873
PTI98_000753,0.3232183749126835,Fuzzy mycelium,60.04,33.903,64.005,36.009
PTI98_000761,0.3828911196351763,Exudophore,17.148,22.67,12.486,12.336
PTI98_000773,0.6440091452600267,Exudophore,9.414,30.172,9.262,13.547
PTI98_000780,0.44879333973639285,Exudophore,18.477,27.404,18.648,8.191
PTI98_000791,0.68716075045239,Exudophore,60.36,211.734,48.523,89.833
PTI98_000795,0.2886437461499884,Exuding mycelium,16.553,9.329,10.014,15.982
PTI98_000806,0.5734587453633574,Exudophore,8.661,20.005,12.551,4.386
PTI98_000811,0.38309725631279085,Exuding mycelium,14.148,4.252,13.196,8.735
PTI98_000812,0.5152337308166376,Fuzzy mycelium,11.915,8.67,19.79,8.196
PTI98_000813,0.6377791072829345,Exudophore,13.228,28.331,9.523,8.036
PTI98_000814,0.34874402441215446,Exuding mycelium,28.989,16.577,23.411,16.649
PTI98_000815,0.33438289546359923,Exuding mycelium,46.869,31.237,41.783,20.57
PTI98_000819,0.3131480869977061,Fuzzy mycelium,23.733,21.743,31.303,19.027
PTI98_000820,0.144244291039641,Exudophore,89.748,91.96,85.407,60.931
PTI98_000827,0.08813243731557496,Nodule,64.648,67.895,71.476,74.579
PTI98_000848,0.5174887825037487,Exudophore,19.696,28.852,14.263,7.806
PTI98_000851,0.39290443001249775,Exudophore,80.949,141.642,67.948,109.073
PTI98_000860,0.5768017809995644,Fuzzy mycelium,13.128,4.252,26.381,16.113
PTI98_000868,0.7941236368652268,Nodule,6.194,2.247,0.477,14.437
PTI98_000875,0.18736765624326476,Exudophore,26.203,30.159,22.831,24.489
PTI98_000882,0.23479161426061715,Exuding mycelium,13.225,10.497,11.924,7.938
PTI98_000883,0.33581545895855197,Exudophore,19.059,27.912,18.682,17.875
PTI98_000887,0.4920348046384057,Fuzzy mycelium,365.282,255.372,463.742,86.04
PTI98_000896,0.24102021462571518,Exudophore,10.368,14.495,14.401,8.236
PTI98_000899,0.8573329830292336,Exudophore,7.415,55.623,8.797,7.595
PTI98_000912,0.5824969775416212,Fuzzy mycelium,9.364,9.164,18.719,4.918
PTI98_000936,0.24294873559121732,Nodule,9.009,10.992,12.998,14.53
PTI98_000951,0.4240000503776411,Exudophore,34.032,59.987,29.385,40.241
PTI98_000955,0.16918744217578371,Nodule,44.766,45.073,30.932,48.455
PTI98_000961,0.26979438823037966,Exuding mycelium,21.136,13.568,17.052,15.681
PTI98_000967,0.4542579145234189,Fuzzy mycelium,14.309,2.666,20.382,16.396
PTI98_000980,0.4288963329073347,Nodule,17.284,7.502,14.925,23.178
PTI98_000984,0.23255240026592303,Nodule,25.322,14.66,28.024,29.538
PTI98_000992,0.4433852141030708,Exudophore,37.605,75.802,45.508,43.464
PTI98_000996,0.17691535722710597,Exuding mycelium,23.839,20.41,19.244,19.211
PTI98_001003,0.38736501681149305,Exudophore,15.551,17.25,8.655,7.498
PTI98_001005,0.8050158530305392,Nodule,41.58,1.333,19.011,105.862
